arterycode,direction,sideofint,centreline_id
5573,Westbound,E,436101
5573,Northbound,S,436232
5573,Southbound,S,436109
5573,Eastbound,W,14304237
5573,Westbound,W,14304237
5590,Eastbound,E,3484504
5590,Westbound,E,3484504
5590,Northbound,N,3484504
5590,Southbound,N,3484504
5590,Northbound,S,110413
5590,Southbound,S,110413
5590,Eastbound,W,110384
5590,Westbound,W,110384
5605,Northbound,N,112813
5605,Southbound,N,112813
5605,Northbound,S,112861
5605,Southbound,S,112861
5610,Eastbound,E,9848317
5610,Westbound,E,9848317
5610,Northbound,N,8089
5610,Southbound,N,8089
5610,Northbound,S,8175
5610,Southbound,S,8175
5610,Eastbound,W,8090
5610,Westbound,W,8090
5625,Eastbound,E,30076890
5625,Westbound,E,30076890
5625,Northbound,N,1146606
5625,Southbound,N,1146606
5625,Northbound,S,7617736
5625,Southbound,S,7617736
5625,Eastbound,W,7617692
5625,Westbound,W,7617692
5655,Eastbound,E,111053
5655,Westbound,E,111053
5655,Northbound,N,111054
5655,Southbound,N,111054
5655,Northbound,S,111097
5655,Southbound,S,111097
5655,Eastbound,W,111123
5655,Westbound,W,111123
5688,Northbound,N,14018242
5688,Southbound,N,14018242
5688,Eastbound,W,14039234
5688,Westbound,W,14039234
5938,Eastbound,E,
5938,Westbound,E,13502871
5938,Northbound,N,105484
5938,Southbound,N,105484
5938,Northbound,S,105605
5938,Southbound,S,105605
5938,Westbound,W,105696
5954,Eastbound,E,8443
5954,Westbound,E,8443
5954,Northbound,N,8307
5954,Southbound,N,8307
5954,Northbound,S,14067459
5954,Southbound,S,14067459
5954,Eastbound,W,8837556
5954,Westbound,W,8837556
6014,Eastbound,E,112799
6014,Westbound,E,112800
6014,Northbound,N,
6014,Southbound,N,
6014,Northbound,S,30054229
6014,Southbound,S,30054229
6014,Eastbound,W,4355284
6014,Westbound,W,4355284
6204,Eastbound,E,7466844
6204,Westbound,E,7466844
6204,Northbound,N,1144630
6204,Southbound,N,1144630
6204,Northbound,S,7399038
6204,Southbound,S,7399038
6204,Eastbound,W,1144740
6204,Westbound,W,1144740
6284,Eastbound,E,111785
6284,Westbound,E,111785
6284,Northbound,N,111786
6284,Southbound,N,111786
6284,Northbound,S,111813
6284,Southbound,S,111813
6284,Eastbound,W,30015906
6284,Westbound,W,30015906
6465,Eastbound,E,30076967
6465,Westbound,E,30076967
6465,Northbound,N,30076965
6465,Southbound,N,30076965
6465,Northbound,S,1141641
6465,Southbound,S,1141641
6465,Eastbound,W,8492575
6465,Westbound,W,8492575
6667,Eastbound,E,112423
6667,Westbound,E,112423
6667,Northbound,N,112424
6667,Southbound,N,112424
6667,Northbound,S,4503983
6667,Southbound,S,4503983
6667,Eastbound,W,20146725
6667,Westbound,W,20146725
7281,Northbound,N,3324102
7281,Southbound,N,7641410
7281,Northbound,S,7641278
7281,Southbound,S,7641278
7281,Eastbound,W,14615205
7281,Westbound,W,14615205
9793,Eastbound,E,7130472
9793,Westbound,E,7130472
9793,Northbound,N,7130464
9793,Southbound,N,7130464
9793,Northbound,S,7130493
9793,Southbound,S,7130493
9793,Eastbound,W,1137637
9793,Westbound,W,1137637
11122,Eastbound,E,
11122,Westbound,E,
11122,Northbound,N,6341041
11122,Northbound,S,30030180
11122,Eastbound,W,
11122,Westbound,W,
11324,Eastbound,E,7553950
11324,Westbound,E,7553950
11324,Northbound,N,14025058
11324,Southbound,N,14025058
11324,Northbound,S,8491846
11324,Southbound,S,8491846
11324,Eastbound,W,14025230
11324,Westbound,W,14025230
11826,Eastbound,E,437260
11826,Westbound,E,437260
11826,Northbound,N,437237
11826,Southbound,N,437237
11826,Northbound,S,437330
11826,Southbound,S,437330
11826,Eastbound,W,437238
11826,Westbound,W,437238
11897,Northbound,N,1140112
11897,Southbound,N,1140112
11897,Northbound,S,
11897,Southbound,S,1140655
11897,Eastbound,W,2923714
11897,Westbound,W,2923714
12028,Eastbound,E,1335
12028,Westbound,E,1335
12028,Northbound,N,1325
12028,Southbound,N,1325
12028,Northbound,S,20081426
12028,Southbound,S,20081426
12028,Eastbound,W,1345
12028,Westbound,W,1345
12115,Eastbound,E,1141758
12115,Westbound,E,1141758
12115,Northbound,N,14021124
12115,Southbound,N,14021124
12115,Northbound,S,1141900
12115,Southbound,S,1141900
12115,Eastbound,W,14037715
12115,Westbound,W,14037715
12119,Eastbound,E,14021154
12119,Westbound,E,14021154
12119,Northbound,N,1141672
12119,Southbound,N,1141672
12119,Northbound,S,7950454
12119,Southbound,S,7950454
12119,Eastbound,W,14021106
12119,Westbound,W,14021106
12189,Eastbound,E,1140924
12189,Westbound,E,1140924
12189,Northbound,N,1140925
12189,Southbound,N,1140925
12189,Eastbound,W,1140983
12189,Westbound,W,1140983
12429,Eastbound,E,308
12429,Westbound,E,308
12429,Northbound,N,307
12429,Southbound,N,307
12429,Northbound,S,343
12429,Southbound,S,343
12429,Eastbound,W,343
12429,Westbound,W,343
15148,Eastbound,E,8260485
15148,Westbound,E,8260485
15148,Northbound,N,1143731
15148,Southbound,N,1143731
15148,Northbound,S,9135320
15148,Southbound,S,9135320
15148,Eastbound,W,14013971
