arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
5188,Northbound,N,1145785,10,10
5188,Southbound,N,1145785,10,10
5188,Northbound,S,30057507,10,10
5188,Southbound,S,30057507,10,10
5188,Eastbound,W,1145812,10,10
5188,Westbound,W,1145812,10,10
5188,Eastbound,E,8396807,10,10
5188,Westbound,E,8396807,10,10
5197,Northbound,N,6027215,10,10
5197,Southbound,N,6027215,10,10
5197,Northbound,S,914882,10,10
5197,Southbound,S,914882,10,10
5197,Eastbound,W,9941956,10,10
5197,Westbound,W,9941956,10,10
5197,Eastbound,E,20230538,10,10
5197,Westbound,E,20230538,10,10
5232,Northbound,N,111863,10,10
5232,Southbound,N,111863,10,10
5232,Northbound,S,5413270,10,10
5232,Southbound,S,5413270,10,10
5232,Eastbound,W,444763,10,10
5232,Westbound,W,444763,10,10
5232,Eastbound,E,5413251,10,10
5232,Westbound,E,5413251,10,10
5390,Northbound,N,14037089,10,10
5390,Southbound,N,14037089,10,10
5390,Northbound,S,30017572,10,10
5390,Southbound,S,30017572,10,10
5390,Eastbound,W,8608491,10,10
5390,Westbound,W,8608491,10,10
5390,Eastbound,E,10663266,10,10
5390,Westbound,E,10663266,10,10
5450,Northbound,N,908438,10,10
5450,Southbound,N,908438,10,10
5450,Northbound,S,20059766,10,10
5450,Southbound,S,20059766,10,10
5450,Eastbound,W,908459,10,10
5450,Westbound,W,908459,10,10
5450,Eastbound,E,20059760,10,10
5450,Westbound,E,20059760,10,10
5586,Northbound,N,113237,10,10
5586,Southbound,N,113237,10,10
5586,Northbound,S,113254,10,10
5586,Southbound,S,113254,10,10
5586,Eastbound,W,113240,10,10
5586,Westbound,W,113240,10,10
5586,Eastbound,E,2286552,10,10
5586,Westbound,E,2286552,10,10
5600,Northbound,N,111501,10,10
5600,Southbound,N,111501,10,10
5600,Northbound,S,6674318,10,10
5600,Southbound,S,6674318,10,10
5600,Eastbound,W,111591,10,10
5600,Westbound,W,111591,10,10
5600,Eastbound,E,111495,10,10
5600,Westbound,E,111495,10,10
5614,Northbound,N,12189729,10,10
5614,Southbound,N,12189729,10,10
5614,Northbound,S,14014172,10,10
5614,Southbound,S,14014172,10,10
5614,Eastbound,W,14014159,10,10
5614,Westbound,W,14014159,10,10
5614,Eastbound,E,1143284,10,10
5614,Westbound,E,1143284,10,10
5693,Northbound,N,9340537,10,10
5693,Southbound,N,9340537,10,10
5693,Northbound,S,4684751,10,10
5693,Southbound,S,4684751,10,10
5693,Eastbound,W,110316,10,10
5693,Westbound,W,110316,10,10
5693,Eastbound,E,110270,10,10
5693,Westbound,E,110270,10,10
5865,Northbound,N,8127,10,10
5865,Southbound,N,8127,10,10
5865,Northbound,S,14067359,10,10
5865,Southbound,S,14067359,10,10
5865,Eastbound,W,8128,10,10
5865,Westbound,W,8128,10,10
5865,Eastbound,E,8174,10,10
5865,Westbound,E,8174,10,10
5880,Northbound,N,20079154,10,10
5880,Southbound,N,20079154,10,10
5880,Northbound,S,14066953,10,10
5880,Southbound,S,14066953,10,10
5880,Eastbound,W,3497322,10,10
5880,Westbound,W,3497322,10,10
5880,Eastbound,E,7459,10,10
5880,Westbound,E,7459,10,10
6181,Northbound,N,30036320,10,10
6181,Southbound,N,30036320,10,10
6181,Northbound,S,1143136,10,10
6181,Southbound,S,1143136,10,10
6181,Eastbound,W,6387985,10,10
6181,Westbound,W,6387985,10,10
6181,Eastbound,E,10035628,10,10
6181,Westbound,E,10035628,10,10
6848,Northbound,N,10258028,10,10
6848,Southbound,N,10258028,10,10
6848,Northbound,S,13232840,10,10
6848,Southbound,S,13232840,10,10
6848,Eastbound,W,2884115,10,10
6848,Westbound,W,2884115,10,10
6848,Eastbound,E,20057357,10,10
6848,Westbound,E,20057357,10,10
11879,Northbound,N,14078493,10,10
11879,Southbound,N,14078493,10,10
11879,Northbound,S,14072838,10,10
11879,Southbound,S,14072838,10,10
11879,Eastbound,W,8745,10,10
11879,Westbound,W,8745,10,10
11879,Eastbound,E,14068812,10,10
11879,Westbound,E,14068812,10,10
12116,Northbound,N,30073968,10,10
12116,Southbound,N,30073968,10,10
12116,Northbound,S,14021164,10,10
12116,Southbound,S,14021164,10,10
12116,Eastbound,W,8677216,10,10
12116,Westbound,W,8677216,10,10
12116,Eastbound,E,14021105,10,10
12116,Westbound,E,14021105,10,10
12261,Northbound,N,10757512,10,10
12261,Southbound,N,10757512,10,10
12261,Northbound,S,7986338,10,10
12261,Southbound,S,7986338,10,10
12261,Eastbound,W,14017401,10,10
12261,Westbound,W,14017401,10,10
12261,Eastbound,E,14042376,10,10
12261,Westbound,E,14042376,10,10
13811,Northbound,N,1144744,10,10
13811,Southbound,N,1144744,10,10
13811,Eastbound,W,1144816,10,10
13811,Westbound,W,1144816,10,10
13811,Eastbound,E,2689046,10,10
13811,Westbound,E,2689046,10,10
14869,Northbound,N,7470,10,10
14869,Southbound,N,7470,10,10
14869,Northbound,S,14051000,10,10
14869,Southbound,S,14051000,10,10
14869,Eastbound,W,14050981,10,10
14869,Westbound,W,14050981,10,10
14869,Eastbound,E,7469,10,10
14869,Westbound,E,7469,10,10
20298,Northbound,N,30017463,10,10
20298,Southbound,N,30017463,10,10
20298,Northbound,S,14022592,10,10
20298,Southbound,S,14022592,10,10
20298,Eastbound,W,1142199,10,10
20298,Westbound,W,1142199,10,10
20298,Eastbound,E,1142163,10,10
20298,Westbound,E,1142163,10,10
22714,Northbound,N,8419,10,10
22714,Southbound,N,8419,10,10
22714,Northbound,S,8594,10,10
22714,Southbound,S,8594,10,10
22714,Eastbound,W,30006087,10,10
22714,Westbound,W,30006087,10,10
22714,Eastbound,E,8417,10,10
22714,Westbound,E,8417,10,10
23204,Northbound,N,20260229,10,10
23204,Southbound,N,20260229,10,10
23204,Northbound,S,1139723,10,10
23204,Southbound,S,1139723,10,10
23204,Eastbound,W,14232499,10,10
23204,Westbound,W,14232499,10,10
23204,Eastbound,E,20141111,10,10
23204,Westbound,E,20141111,10,10
23331,Northbound,N,7402,10,10
23331,Southbound,N,7402,10,10
23331,Northbound,S,30017559,10,10
23331,Southbound,S,30017559,10,10
23331,Eastbound,W,20010472,10,10
23331,Westbound,W,20010472,10,10
23331,Eastbound,E,20010443,10,10
23331,Westbound,E,20010443,10,10
24213,Northbound,N,106517,10,10
24213,Southbound,N,106517,10,10
24213,Northbound,S,106527,10,10
24213,Southbound,S,106527,10,10
24878,Northbound,N,20111834,10,10
24878,Southbound,N,20111834,10,10
24878,Northbound,S,7553549,10,10
24878,Southbound,S,7553549,10,10
24878,Eastbound,W,30075899,10,10
24878,Westbound,W,30075899,10,10
24878,Eastbound,E,3121358,10,10
24878,Westbound,E,3121358,10,10
28070,Northbound,N,14016102,10,10
28070,Southbound,N,14016102,10,10
28070,Northbound,S,14016124,10,10
28070,Southbound,S,14016124,10,10
28070,Eastbound,W,1140012,10,10
28070,Westbound,W,1140012,10,10
28070,Eastbound,E,10367572,10,10
28070,Westbound,E,10367572,10,10
28071,Northbound,N,14016094,10,10
28071,Southbound,N,14016094,10,10
28071,Northbound,S,1140362,10,10
28071,Southbound,S,1140362,10,10
28071,Eastbound,W,1140029,10,10
28071,Westbound,W,1140029,10,10
28071,Eastbound,E,1140012,10,10
28071,Westbound,E,1140012,10,10
28281,Northbound,N,1116,10,10
28281,Southbound,N,1116,10,10
28281,Northbound,S,20041963,10,10
28281,Southbound,S,20041963,10,10
28281,Eastbound,W,1133,10,10
28281,Westbound,W,1133,10,10
28281,Eastbound,E,3232748,10,10
28281,Westbound,E,3232748,10,10
30280,Northbound,N,112961,10,10
30280,Southbound,N,112961,10,10
30280,Northbound,S,8237825,10,10
30280,Southbound,S,8237825,10,10
30280,Eastbound,W,8237684,10,10
30280,Westbound,W,8237684,10,10
30280,Eastbound,E,4819765,10,10
30280,Westbound,E,4819765,10,10
30295,Northbound,N,112937,10,10
