"","arterycode","match_on_case","artery_type","location","direction","sideofint"
"2729",2876,1,1,"MARKHAM RD S/B N OF SHEPPARD AVE","Southbound","N"
"828",877,1,1,"LAWRENCE AVE W/B E OF BLACK CREEK DR","Westbound","E"
"18886",30753,1,1,"GOODVIEW RD SB S OF PRATTLEY DR","Southbound","S"
"1315",1395,1,1,"SHEPPARD AVE W/B E OF HAWKSBURY DR","Westbound","E"
"2886",3044,1,1,"RICHMOND ST W/B E OF PETER ST","Westbound","E"
"24160",36395,1,1,"LOGAN AVE SB N OF EASTERN AVE","Southbound","N"
"13781",25173,1,1,"WELLINGTON ST E/B W OF WALNUT AVE","Eastbound","W"
"25426",37769,1,1,"ROYAL YORK RD N/B S OF DUNDAS ST W","Northbound","S"
"17435",29186,1,1,"ALAMEDA AVE N/B S OF GLOUCESTER GRV","Northbound","S"
"25598",37955,1,1,"QUEEN ST W W/B E OF ST PATRICK ST","Westbound","E"
"24676",36952,1,1,"GLAMIS AVE SB N OF ELLINS AVE","Southbound","N"
"3134",3314,1,1,"ST CLAIR AVE E/B W OF PLAXTON DR","Eastbound","W"
"17357",29106,1,1,"THREE VALLEYS DR W/B E OF GROVELAND CRES","Westbound","E"
"24427",36688,1,1,"PLYMBRIDGE RD WB E OF PLYMBRIDGE CRES","Westbound","E"
"17202",28938,1,1,"ECCLESTON DR W/B E OF LARKSONG CRT","Westbound","E"
"24433",36695,1,1,"VAN HORNE AVE EB W OF TUMBLEWEED RD","Eastbound","W"
"14529",25984,1,1,"F G GARDINER EXPY E/B E OF DUFFERIN ST","Eastbound","E"
"358",386,1,1,"DUNDAS ST W/B E OF SHAVER AVE","Westbound","E"
"10188",21138,1,1,"NIPIGON AVE W/B E OF DUMONT ST","Westbound","E"
"12955",24272,1,1,"FALKIRK ST N/B N OF HADDINGTON AVE","Northbound","N"
"14558",26016,1,1,"INDIAN RD N/B N OF PARKDALE RD","Northbound","N"
"395",424,1,1,"ELLESMERE RD W/B E OF DORMINGTON DR","Westbound","E"
"41",46,1,1,"BAYVIEW AVE S/B N OF BROADWAY AVE","Southbound","N"
"17894",29691,1,1,"ROCKWELL AV E/B E OF CHAMBERS AV","Eastbound","E"
"14384",25821,1,1,"MARKLAND DR S/B N OF CONIFER DR","Southbound","N"
"17035",28760,1,1,"HUNTINGWOOD DR E/B W OF HARFLEUR RD","Eastbound","W"
"18115",29929,1,1,"RIVERSIDE DR W/B W OF LARCHMERE AVE","Westbound","W"
"18060",29873,1,1,"HALFWAY AVE W/B E OF HUPFIELD TRL","Westbound","E"
"21385",33432,1,1,"WIGMORE DR E/B E OF ARDTREA AVE","Eastbound","E"
"19759",31725,1,1,"FAIRWOOD CRES N/B S OF AMIENS RD","Northbound","S"
"1037",1097,1,1,"OLD WESTON RD N/B S OF KANE RD","Northbound","S"
"9166",16627,1,1,"LOGAN AVE N/B S OF LANGLEY AVE","Northbound","S"
"1491",1580,1,1,"STEELES AVE W/B E OF FENTON RD","Westbound","E"
"20893",32917,1,1,"LOWCREST BLVD N/B S OF WARDEN AVE","Northbound","S"
"9578",20492,1,1,"ISLINGTON AVE S/B N OF SATTERLY RD","Southbound","N"
"17569",29327,1,1,"KING GEORGES W/B E OF WILLINGTON BLVD","Westbound","E"
"13724",25107,1,1,"ELWOOD BLVD E/B E OF CASTLE KNOCK RD","Eastbound","E"
"24580",36848,1,1,"STRATHBURN BLVD NB S OF GAYDON AVE","Northbound","S"
"16673",28374,1,1,"BEACHVIEW CRES W/B E OF BROOKSIDE DR","Westbound","E"
"172",187,1,1,"BURNHAMTHORPE RD E/B W OF MILL RD","Eastbound","W"
"514",548,1,1,"ISLINGTON AVE S/B N OF BLOOR ST","Southbound","N"
"22244",34343,1,1,"VIEWMOUNT AVE E/B W OF BATHURST ST","Eastbound","W"
"215",238,1,1,"DIXON RD E/B W OF KIPLING AVE","Eastbound","W"
"16138",27794,1,1,"LN S OF HARBORD ST W/B W OF MANNING AVE","Westbound","W"
"21650",33710,1,1,"SANDHILL DR E/B W OF ISLINGTON AVE","Eastbound","W"
"10442",21397,1,1,"F G GARDINER EXPY W/B TO HIGHWAY 427 N/B & BROWN'S LINE","Westbound","E"
"22599",34726,1,1,"GOLFDOWN DR W/B E OF COVE DR","Westbound","E"
"1556",1647,1,1,"STEELES AVE E/B W OF TOWNSEND RD","Eastbound","W"
"6984",12554,1,1,"NEILSON RD S/B N OF ELLESMERE RD","Southbound","N"
"2395",2524,1,1,"EGLINTON AVE E/B W OF WARDEN AVE","Eastbound","W"
"1763",1856,1,1,"YONGE ST S/B N OF ELMHURST AVE","Southbound","N"
"9812",20741,1,1,"ELLERSLIE AVE E/B W OF WYNN RD","Eastbound","W"
"1948",2054,1,1,"BATHURST ST N/B S OF FINCH AVE","Northbound","S"
"20447",32449,1,1,"PARKVIEW HILL CRES S W/B E OF LONGSPUR RD","Westbound","E"
"12401",23636,1,1,"BRIDLEWOOD BLVD N/B S OF EVANSWAY ST","Northbound","S"
"25098",37408,1,1,"LA ROSE AVE E/B W OF ARCADE DR","Eastbound","W"
"16468",28144,1,1,"BERNARD AV E/B E OF BEDFORD RD","Eastbound","E"
"387",416,1,1,"ELLESMERE RD E/B W OF BIRCHMOUNT RD","Eastbound","W"
"14346",25776,1,1,"HILLDOWNTREE RD W/B W OF FINCHLEY RD","Westbound","W"
"14748",26234,1,1,"BROOKE AVE W/B W OF AVENUE RD","Westbound","E"
"13905",25303,1,1,"BRIMLEY RD S/B N OF COMRIE TERR","Southbound","N"
"12733",24006,1,1,"F G GARDINER ( COLL) EXPY W/B E OF ZORRA ST","Westbound","E"
"8448",15375,1,1,"DUNRAVEN DR W/B W OF KANE AVE","Westbound","W"
"913",965,1,1,"MARTIN GROVE RD N/B S OF HIGHWAY 409 N TCS","Northbound","S"
"1640",1731,1,1,"WARDEN AVE N/B S OF TOWER DR","Northbound","S"
"8325",15245,1,1,"BRUCE ST E/B E OF ARGYLE PL","Eastbound","E"
"10568",21529,1,1,"HAWKSBURY DR S/B N OF BAYVIEW MEWS LANE","Southbound","N"
"6900",12339,1,1,"REXDALE BLVD E/B W OF BERGAMOT AVE","Eastbound","W"
"20875",32898,1,1,"PACHINO BLVD E/B E OF PHARMACY AVE","Eastbound","E"
"12675",23941,1,1,"MCCOWAN RD N/B S OF EGLINTON AVE","Northbound","S"
"2109",2220,1,1,"BLOOR ST W/B E OF SHERBOURNE ST","Westbound","E"
"8685",15719,1,1,"GRENADIER RD W/B E OF PARKSIDE DR","Westbound","E"
"14462",25909,1,1,"WESTMORE DR S/B N OF CARRIER DR","Southbound","N"
"9840",20769,1,1,"PRINCE ANDREW PL S/B S OF BARBER GREENE RD","Southbound","S"
"8930",16228,12,1,"LAWRENCE AVE E/B W OF CEDARBRAE MALL E TCS","Eastbound","W"
"15236",26778,12,1,"MANSEWOOD GDNS E/B E OF MANSE RD NORTH INTERSECTION","Eastbound","E"
"16854",28575,12,1,"CHATHAM AV E/B W OF GREENWOOD AV","Eastbound","W"
"8637",15662,12,1,"BISHOP TUTU BLVD W/B E OF STADIUM RD","Westbound","E"
"10096",21045,12,1,"CARLUKE CRES EASTBOUND","Eastbound","W"
"8736",15842,12,1,"PASSMORE AVE W/B W OF PICKERING TOWN LINE","Westbound","W"
"2825",2976,12,1,"RAMP DON VALLEY PKWY S/B TO LAWRENCE AVE E/B","Southbound","N"
"13566",24943,12,1,"SHAUNAVON HEIGHTS CR N/B N OF BROADLANDS BLVD","Northbound","N"
"19739",31694,12,1,"FOREST HILL RD N/B N OF HILHOLM RD","Northbound","N"
"18213",30036,12,1,"SHROPSHIRE DR E/B E OF ARBUTUS CRES","Eastbound","E"
"16116",27762,12,1,"RIVER ST W/B E OF RIVER ST","Westbound","E"
"13059",24390,12,1,"WHITMAN ST N/B S OF STEELES AVE","Northbound","S"
"9417",20309,12,1,"ST NICHOLAS ST S/B N OF IRWIN AVE","Southbound","N"
"9433",20326,12,1,"LN N OF COLLEGE ST E/B W OF SHERIDAN AVE","Eastbound","W"
"12566",23816,12,1,"THE DONWAY WEST N/B S OF LAWRENCE AVE","Northbound","S"
"23502",35692,12,1,"IONVIEW RD S/B N OF FLEMPTON CRES S LEG","Southbound","N"
"21518",33570,12,1,"GRIFFEN DR N/B S OF GORSEY SQ N","Northbound","S"
"14402",25843,12,1,"NUGENT RD E/B E OF WARBECK PL","Eastbound","E"
"7921",14567,12,1,"ALDER RD N/B S OF PARKVIEW HILL CR","Northbound","S"
"10387",21342,12,1,"HAVENBROOK BLVD E/B BETWEEN DEEPGLADE CRES","Eastbound","W"
"18517",30362,12,1,"2466 EGLINTON AVE E/B E OF SERVICE RD","Eastbound","E"
"1881",1980,12,1,"RAMP YORK MILLS RD W/B TO DON VALLEY PKWY S/B","Westbound","E"
"7743",14089,12,1,"DOUGLAS DR E/B W OF ST ANDREWS GDNS","Eastbound","W"
"9419",20311,12,1,"ST NICHOLAS ST S/B N OF INKERMAN ST","Southbound","N"
"21533",33586,12,1,"BERNER TRL E/B W OF SACHEM PL","Eastbound","W"
"24892",37184,12,1,"BRADDOCK RD N/B S OF AQUILA CRT N","Northbound","S"
"18738",30586,12,1,"PLEWES RD W/B E OF KESWICK RD","Westbound","E"
"15721",27302,12,1,"RIDERWOOD DR N/B S OF MAGPIE CRES N LEG","Northbound","S"
"11148",22183,12,1,"LARKFIELD DR N/B S OF KIRKDALE CRES","Northbound","S"
"11350",22405,12,1,"CHATFIELD DR N/B S OF BRADGATE RD","Northbound","S"
"23501",35691,12,1,"IONVIEW RD N/B S OF FLEMPTON CRES N LEG","Northbound","S"
"13708",25091,12,1,"ROCKFORD RD S/B S OF SUNNYCREST RD","Southbound","S"
"20521",32524,12,1,"ORMONT DR E/B E OF BARMAC DR","Eastbound","E"
"19979",31956,12,1,"WINTERMUTE BLVD S/B S OF RIVER GROVE N","Southbound","S"
"10843",21836,12,1,"DUDLEY AVE S/B N OF CHARLEMAGNE DR","Southbound","N"
"9209",16672,12,1,"LN N OF ST CLAIR AVE E/B E OF HUMEWOOD DR","Eastbound","E"
"14101",25507,12,1,"GLENDOWER CRCT N/B N OF EASTLEA CRES","Northbound","N"
"24944",37244,12,1,"STEELES AVE W/B W OF ALBION RD-HWY 50","Westbound","W"
"1124",1192,12,1,"FINCH AVE W/B TO HIGHWAY 427 N/B","Westbound","E"
"21265",33307,12,1,"ALBION RD E/B E OF ARMEL CRT","Eastbound","E"
"13959",25360,12,1,"FINDLAY BLVD S/B N OF EMBRO DR","Southbound","N"
"23062",35230,12,1,"OAKMEADOW BLVD E/B W OF LOGSTONE CRES E LEG","Eastbound","W"
"21519",33571,12,1,"GRIFFEN DR S/B N OF GORSEY SQ S","Southbound","N"
"11016",22037,12,1,"CHALKFARM DR N/B N OF MARLINGTON CRES","Northbound","N"
"23063",35231,12,1,"OAKMEADOW BLVD W/B E OF LOGSTONE CRES W LEG","Westbound","E"
"16790",28506,12,1,"FINCH AVE E/B W OF ALBION MALL","Eastbound","W"
"17531",29287,12,1,"TAMS RD E/B W OF BONSPIEL DR","Eastbound","W"
"19708",31662,12,1,"LITTLE AVE S/B N OF LAWRENCE AVE","Southbound","N"
"22151",34245,12,1,"LN S/B N OF SPADINA RD W OF SPADINA RD","Southbound","N"
"13077",24413,12,1,"CHERRY ST S/B N OF EASTERN AVE","Southbound","N"
"24893",37185,12,1,"BRADDOCK RD S/B N OF AQUILA CRT S","Southbound","N"
"10388",21343,12,1,"GEORGE HENRY BLVD W/B BETWEEN QUINCY CRES","Westbound","E"
"21534",33587,12,1,"BERNER TRL W/B W OF SACHEM PL","Westbound","W"
"6095",6542,12,1,"FINCH AVE E/B E OF LONGO CIR","Eastbound","E"
"10992",22013,12,1,"BROOKBANKS DR E/B E OF SAGEBRUSH LANE","Eastbound","E"
"22150",34244,12,1,"LN N/B S OF BANTRY AVE W OF SPADINA RD","Northbound","S"
"15370",26926,12,1,"COE HILL DR S/B N OF ELLIS GNDS","Southbound","N"
"9738",20665,12,1,"VANLEY CRES N/B E OF CHESSWOOD DR","Northbound","E"
"6419",11502,12,1,"LN E OF GILBERT AVE N/B N OF  NORMAN AVE","Northbound","N"
"17655",29430,12,1,"OVERLEA BLVD E/B W OF EAST YORK TOWN CENTRE E","",""
"21627",33686,12,1,"GARRYBROOK DR S/B S OF HARRINGAY CRES N","Southbound","S"
"11207",22251,12,1,"ROCKBANK CRES S/B N OF STARVIEW DR","Southbound","N"
"2949",3113,12,1,"AVENUE RD S/B N OF HIGHWAY 401 E/B OFF RAMP","Southbound","S"
"24761",37043,12,1,"GILEAD PL NB S OF CORKTOWN LANE N","Northbound","S"
"23094",35264,12,1,"MARINE PARADE DR S/B N OF HUMBER BAY PARK","Southbound","N"
"11991",23147,12,1,"GOVERNMENT RD W/B E OF ROYAL YORK RD","Westbound","E"
"24488",36755,12,1,"SIR WILLIAMS LANE SB N OF TWYFORD RD","Southbound","N"
"8374",15296,12,1,"PERTH AVE S/B N OF STERLING RD","Southbound","N"
"16233",27895,12,1,"MILVAN DR N/B S OF MILLWICK DR","Northbound","S"
"9621",20537,12,1,"ALBION RD W/B W OF CLAIREPORT CRES","Westbound","W"
"19994",31974,12,1,"GARNIER CRT W/B E OF BALLYCONNOR CRT","Westbound","E"
"11774",22887,12,1,"LESLIE ST N/B 50 M S OF MOSLEY ST PX 1931","Northbound","S"
"22383",34485,12,1,"BETTY ANN DR E/B W OF STAFFORD RD","Eastbound","W"
"17073",28799,12,1,"LAWRENCE NE SERVICE RD W/B E OF LAWRENCE AV","Westbound","E"
"6435",11518,12,1,"ELLIS PARK RD N/B S OF BLOOR ST","Northbound","S"
"425",455,12,1,"FINCH AVE S/B N OF ALBION RD","Southbound","N"
"20197",32188,12,1,"FINCH AVE E W/B E OF BLACKBIRD GT","Westbound","E"
"9766",20694,12,1,"BUCHAN CRT S/B N OF SHEPPARD AVE","Southbound","N"
"3282",3482,12,1,"DON VALLEY PKWY N/B TO BAYVIEW / BLOOR W/B","Northbound","S"
"23354",35538,12,1,"COMBERMERE DR W/B E OF PARKWOOD VILLAGE DR","Westbound","E"
"8",8,12,1,"ALBION RD E/B W OF CLAIREPORT CRES","Eastbound","W"
"19286",31196,12,1,"CANONGATE TRY W/B E OF HOLMBUSH CRES","Westbound","E"
"19284",31194,12,1,"CANONGATE TRL W/B E OF INNISCROSS CRES","Westbound","E"
"22212",34309,12,1,"BANBURY RD S/B N OF JUNEWOOD CRES S LEG","Southbound","N"
"25207",37526,12,1,"ROYWOOD DR N/B S OF UNDERPASS GATE","Northbound","S"
"23322",35505,12,1,"MOUNTLAND DR W/B E OF STONEHENGE CRES W LEG","Westbound","E"
"1149",1218,12,1,"HIGHWAY 401 W/B TO ISLINGTON AVE N/B","Westbound","E"
"9281",16749,12,1,"LN S OF VAUGHAN RD W/B E OF PINEWOOD AVE","Westbound","E"
"16187",27844,12,1,"RAMP WESTON RD S/B N OF ALBION RD","Southbound","N"
"23257",35436,12,1,"SHEPTON WAY S/B N OF WEST HIGHTLAND CREEK","Southbound","N"
"24566",36834,12,1,"BEECROFT RD NB S OF BASIL HALL CRT","Northbound","S"
"7936",14600,12,1,"COXWELL BLVD S/B S OF BARBARA CRES","Southbound","S"
"22205",34302,12,1,"LAURA RD S/B N OF SNOWOOD CRT","Southbound","N"
"9279",16747,12,1,"LN S OF VAUGHAN RD E/B E OF PINEWOOD AVE","Eastbound","E"
"10389",21344,12,1,"GEORGE HENRY BLVD E/B W OF QUINCY BLVD","Eastbound","W"
"7742",14088,12,1,"DOUGLAS DR W/B W OF ST ANDREWS GDNS","Westbound","W"
"17530",29286,12,1,"TAMS RD W/B W OF BONSPIEL DR","Westbound","W"
"18872",30739,12,1,"PALMDALE DR NB S OF SHEPPARD AVE","Northbound","S"
"3574",3830,12,1,"DUNN AVE S/B TO LAKE SHORE BLVD","Southbound","N"
"20015",31996,12,1,"LN N OF QUEEN ST E/B W OF FULLER AVE","Eastbound","W"
"24665",36941,12,1,"KITTIWAKE AVE EB W OF KISKADEE DR E","Eastbound","W"
"22220",34317,12,1,"BELL ESTATE RD W/B E OF WARDEN AVE","Westbound","E"
"1217",1295,12,1,"THE QUEENSWAY E/B TO F G GARDINER EXPY E/B","Eastbound","W"
"10632",21593,12,1,"GREEN BUSH RD E/B E OF TANJOE CRES","Eastbound","E"
"14767",26253,12,1,"BRIAN DR S/B S OF CROSSBOW CRES","Southbound","S"
"20844",32866,12,1,"LN W OF JONES AVE N/B S OF MALLON AVE","Northbound","S"
"24229",36469,12,1,"SLOLEY RD EB W OF CATHEDRAL BLUFFS DR","Eastbound","W"
"13058",24389,12,1,"WHITMAN ST S/B S OF STEELES AVE","Southbound","S"
"6089",6493,12,1,"FINCH AVE W/B E OF LONGO CIR","Westbound","E"
"17074",28800,12,1,"LAWRENCE NE SERVICE RD E/B E OF LAWRENCE AV","Eastbound","E"
"8735",15841,12,1,"PASSMORE AVE E/B W OF PICKERING TOWN LINE","Eastbound","W"
"20613",32622,12,1,"#110 CASSANDRA BLVD E/B E OF ALDENHAM CRES W","Eastbound","E"
"15600",27172,12,1,"LEE CENTRE DR E/B W OF LEE CENTRE DR E LEG","Eastbound","W"
"24762",37044,12,1,"GILEAD PL SB N OF CORKTOWN LANE S","Southbound","N"
"9562",20469,12,1,"ASHBRIDGES BAY PARK RD N/B S OF LAKE SHORE BLVD","Northbound","S"
"11984",23139,12,1,"RAMP DUNDAS ST E/B TO ROYAL YORK RD S/B","Eastbound","W"
"23263",35442,12,1,"ABERFOYLE CRES S/B N OF BLOOR ST W","Southbound","N"
"18798",30649,12,1,"IAN MACDONALD LANE N/B N OF ARBORETUM LANE","Northbound","N"
"10824",21815,12,1,"SHAWNEE N/B N MICMAC CRES","Northbound","N"
"18873",30740,12,1,"PALMDALE DR SB S OF SHEPPARD AVE","Southbound","S"
"7029",12628,12,1,"FOUR OAKS GT N/B N OF DUNSTAN CR","Northbound","N"
"22758",34899,12,1,"RANKIN CRES N/B S OF DEKOVEN MEWS","Northbound","S"
"17673",29449,12,1,"MANTIS RD N/B N OF DRAGONFLY CRES","Northbound","N"
"11019",22040,12,1,"CHALKFARM DR S/B N OF MARLINGTON CRES","Southbound","N"
"14745",26231,12,1,"FRANCINE DR E/B E OF MARISA CRT","Eastbound","E"
"3106",3285,12,1,"HIGHWAY 401 E/B TO AVENUE RD S/B","Eastbound","W"
"24394",36651,12,1,"NORTHFIELD RD SB N OF GONDOLA CRES S","Southbound","N"
"17423",29174,12,1,"AVERILL CRES N/B S OF SILVERVIEW DR","Northbound","S"
"9149",16509,12,1,"WILLIAM CARSON CR E/B W OF YONGE ST","Eastbound","W"
"23442",35631,12,1,"GLENTWORTH RD W/B E OF ENNISMORE PL","Westbound","E"
"14569",26028,2,1,"MARION ST W/B E OF SUNNYSIDE AVE","Westbound","E"
"9845",20777,2,1,"GILLEY RD W/B E OF GARRATT BLVD","Westbound","E"
"776",822,2,1,"LAIRD DR S/B N OF MCRAE DR","Southbound","N"
"9172",16633,2,1,"RIVERCOURT BLVD S/B S OF PAPE AVE","Southbound","S"
"3568",3824,2,1,"PONYTZ AVE E/B W OF YONGE ST","Eastbound","W"
"121",133,2,1,"BRIMLEY RD N/B S OF DORCOT AVE","Northbound","S"
"7875",14419,2,1,"WILLOWDALE AVE S/B S OF SHEPPARD AVE E","Southbound","S"
"10725",21699,2,1,"TOBERMORY DR S/B N OF POTSDAM RD","Northbound","N"
"17772",29557,2,1,"DARBY CRT E/B E OF SEWELLS RD","Eastbound","E"
"25191",37507,2,1,"F G GARDINER EXPY E/B W OF RONCESVALLES AVE","Eastbound","W"
"13873",25269,2,1,"MCNICOLL AVE E/B W OF MCCOWAN RD","Eastbound","W"
"7874",14418,2,1,"WILLOWDALE AVE N/B S OF SHEPPARD AVE E","Northbound","S"
"3418",3636,2,1,"VICTORIA PARK AVE S/B S OF STEELES AVE","Southbound","S"
"21965",34039,2,1,"THICKET RD E/B W OF THORNBUSH CRES","Eastbound","W"
"20684",32700,2,1,"BATHURST ST S/B S OF QUEENS QUAY","Southbound","S"
"19749",31707,2,1,"LN S OF COLLEGE ST W/B E OF EUCLID AVE","Westbound","E"
"3451",3671,2,1,"VICTORIA PARK AVE N/B S OF YORK MILLS RD","Northbound","S"
"18496",30339,2,1,"BIRCHCREST CRT N/B N OF HUNTINGDALE BLVD","Northbound","N"
"13431",24796,2,1,"QUEENS DR S/B N OF GRACEFIELD AVE","Southbound","N"
"8891",16119,2,1,"PRISCILLA AVE N/B N OF ST JOHNS RD","Northbound","N"
"599",636,2,1,"JOHN ST N/B S OF QUEEN ST","Northbound","S"
"11883",23004,2,1,"KEMPFORD BLVD W/B W OF YONGE ST","Westbound","W"
"13330",24687,2,1,"SB LANEWAY E OF DAVENPORT RD N OF BELMONT ST","Southbound","N"
"23458",35648,2,1,"FAWNRIDGE TRL N/B S OF GOLDENE WAY","Northbound","S"
"25227",37549,2,1,"DANVILLE DR E/B W OF FENN AVE","Eastbound","W"
"1385",1468,2,1,"SHEPPARD AVE W/B E OF WILLOWDALE AVE","Westbound","E"
"17777",29562,2,1,"DARBY CRT N/B N OF SEWELLS RD","Northbound","N"
"6954",12494,2,1,"DAILING GT S/B N OF MILNER AVE","Southbound","N"
"6936",12445,2,1,"RYDING AVE E/B E OF RUNNYMEDE RD","Eastbound","E"
"22501",34614,2,1,"KEELE ST N/B N OF HIGHWAY 401 N TCS","Northbound","N"
"8616",15635,2,1,"ASTORIA AVE E/B W OF BAYLISS AVE","Eastbound","W"
"21063",33094,2,1,"ST CLAIR AVE E W/B E OF FERNDALE AVE","Westbound","E"
"1381",1464,2,1,"SHEPPARD AVE W/B E OF WESTON RD","Westbound","E"
"7958",14640,2,1,"LAKE SHORE BLVD E/B W OF BROWNS LINE","Eastbound","W"
"712",756,2,1,"KIPLING AVE N/B S OF BEACONHILL RD","Northbound","S"
"14240",25650,2,1,"RIDGEVALE DR W/B E OF BROOKVIEW DR","Westbound","E"
"17059",28784,2,1,"GALLOWAY RD N/B S OF WEIR CRES","Northbound","S"
"2736",2883,2,1,"MARKHAM RD S/B N OF TUXEDO CRT","Southbound","N"
"3317",3524,2,1,"THE QUEENSWAY W/B TO SOUTH KINGSWAY N/B","Westbound","E"
"24740",37021,2,1,"EVERDEN RD SB N OF GLOUCESTER GRV","Southbound","N"
"24680",36956,2,1,"ISABELLA ST EB W OF CHURCH ST","Eastbound","W"
"19748",31706,2,1,"LN S OF COLLEGE ST E/B E OF EUCLID AVE","Eastbound","E"
"23724",35929,2,1,"MINGLEHAZE DR W/B E OF MINGLEHAZE DR W LEG","Westbound","E"
"10974",21989,2,1,"BAYVIEW AVE S/B N OF COUNTRY LANE","Southbound","N"
"23515",35705,2,1,"INGLETON BLVD W/B E OF PRESIDENTS CRT","Westbound","E"
"1470",1559,2,1,"STEELES AVE E/B W OF BIRCHMOUNT RD","Eastbound","W"
"8790",15906,2,1,"CONNOLLY ST W/B W OF WILTSHIRE AVE","Westbound","W"
"15869",27453,2,1,"NIGHTSTAR RD W/B E OF WHARNSBY DR","Westbound","E"
"15253",26797,2,1,"LAUREL AVE S/B S OF HARMONY AVE","Southbound","S"
"25165",37479,2,1,"MONTYE AVE W/B E OF JANE ST","Westbound","E"
"12323",23541,2,1,"JANE ST N/B S OF HULLMAR DR","Northbound","S"
"25404",37744,2,1,"GEORGE ANDERSON DR E/B W OF KEELE ST","Eastbound","W"
"564",600,2,1,"ISLINGTON AVE N/B S OF THE QUEENSWAY","Northbound","S"
"22082",34161,2,1,"WELLESWORTH DR S/B N OF RAMAGE LANE","Southbound","N"
"1515",1606,2,1,"STEELES AVE E/B W OF KIPLING AVE","Eastbound","W"
"8754",15869,2,1,"VICTORIA PARK AVE S/B S OF DONSIDE DR","Southbound","S"
"10002",20946,2,1,"FAIRLAWN AVE E/B W OF AVENUE RD","Eastbound","W"
"10304",21257,2,1,"WENDERLY DR W/B E OF BOLINGBROOKE RD","Westbound","E"
"13332",24690,2,1,"N/B MADISON AVE S OF DAVENPORT RD","Northbound","S"
"13881",25277,2,1,"MCNICOLL AVE E/B W OF SILVER SPRINGS BLVD","Eastbound","W"
"22029",34106,2,1,"SHIRLEY ST E/B W OF NORTHERN PL","Eastbound","W"
"25173",37487,2,1,"WINDERMERE AVE S/B N OF ANNETTE ST","Southbound","N"
"3409",3627,2,1,"VICTORIA PARK AVE N/B S OF EGLINTON SQ","Northbound","S"
"12049",23211,2,1,"WARDEN AVE N/B S OF CENTENNIAL COLLEGE","Northbound","S"
"1616",1707,2,1,"WARDEN AVE S/B N OF FIRVALLEY CRT","Southbound","N"
"8109",14930,2,1,"QUEENS QUAY E/B W OF REES ST","Eastbound","W"
"11970",23121,2,1,"DUNDAS ST E/B W OF KINGSWAY MILLS PLAZA","Eastbound","W"
"20379",32377,2,1,"DEVONDALE AVE W/B E OF ANCONA ST","Westbound","E"
"10865",21859,2,1,"HOLMES AVE E/B W OF KENNETH AVE","Eastbound","W"
"19541",31472,2,1,"VALLEY WOODS RD N/B S OF YORK MILLS RD","Northbound","S"
"1997",2105,2,1,"BIRCHMOUNT RD S/B N OF BAY MILLS BLVD","Southbound","N"
"790",838,2,1,"LAKE SHORE BLVD E/B W OF COXWELL AVE","Eastbound","W"
"6424",11507,2,1,"ELLIS AVE S/B S OF ELLIS GDNS/GRENADIER HTS","Southbound","S"
"1053",1113,2,1,"PAPE AVE S/B N OF DANFORTH AVE","Southbound","N"
"12558",23807,2,1,"WEYMOUTH AVE E/B E OF SIBLEY AVE","Eastbound","E"
"15746",27327,2,1,"SHUTER ST E/B W OF JARVIS ST","Eastbound","W"
"19330",31242,2,1,"ST CLARENS AVE N/B S OF DAVENPORT RD","Northbound","S"
"16898",28620,2,1,"THIRD ST N/B N OF LAKE SHORE BLVD","Northbound","N"
"20783",32801,2,1,"BADEN ST W/B E OF LAKEVIEW AVE","Westbound","E"
"7970",14657,2,1,"LN N OF ST CLAIR W/B E OF RAGLAN AVE","Westbound","E"
"11111",22145,2,1,"GREY RD N/B S OF BEDFORD PARK AVE","Northbound","S"
"13388",24749,2,1,"OLD KINGSTON RD W/B W OF MILITARY TRL","Westbound","W"
"20000",31981,2,1,"LN S OF EGLINTON AVE W W/B E OF CHAPLIN CRES","Westbound","E"
"18648",30496,2,1,"BROOKERS LANE N/B S OF LAKE SHORE BLVD W","Northbound","S"
"11742",22847,2,1,"EASTERN AVE W/B E OF ST LAWRENCE ST","Westbound","E"
"351",379,2,1,"DUNDAS ST E/B W OF ROYAL AVON CRES","Eastbound","W"
"18978",30852,2,1,"KIPLING AVE S/B N OF MID TCS PX1950 (N OF MT OLIVE DR)","Southbound","N"
"1287",1366,2,1,"SHEPPARD AVE W/B E OF BAYVIEW AVE","Westbound","E"
"15521",27090,2,1,"BRIMORTON DR W/B W OF ORTON PARK RD","Westbound","W"
"7048",12800,2,1,"BURNHAMTHORPE RD W/B E OF OLD BURNHAMTHORPE RD","Westbound","E"
"25018",37324,2,1,"ST JOSEPH ST E/B W OF ST NICHOLAS ST","Eastbound","W"
"9237",16704,2,1,"BEVERLY GLEN BLVD E/B E OF STONEBRIDGE BLVD","Eastbound","E"
"22641",34771,2,1,"LADY BANK RD N/B S OF INVERNESS AVE","Northbound","S"
"1588",1679,2,1,"WARDEN AVE S/B N OF BAMBURGH CRCL N","Southbound","N"
"3390",3607,2,1,"TRETHEWEY DR S/B N OF EGLINTON AVE","Southbound","N"
"16496",28180,2,1,"FORT YORK BLVD N/B N OF FLEET ST","Northbound","N"
"11812",22932,2,1,"BYNG AVE E/B E OF YONGE ST","Eastbound","E"
"2222",2338,2,1,"DON MILLS RD S/B N OF DON MILLS CENTRE","Southbound","N"
