"","arterycode","match_on_case","artery_type","location","direction","sideofint"
"21912",33982,6,2,"CULNAN AVE AT THE QUEENSWAY","",""
"4665",4967,6,2,"DEAUVILLE LANE AT ST DENNIS DR (PX 3002)","",""
"20109",32098,6,2,"PIRANDELLO ST AT WESTERN BATTERY RD","",""
"5553",5881,6,2,"EGLINTON AVE AT GLEN CEDAR RD & OLD PARK RD (PX 101)","",""
"18831",30686,6,2,"HARLOCK BLVD AT MAXWELL ST AND SHEPPARD AVE W","",""
"3928",4207,6,2,"BAY ST AT HARBOUR SQ & QUEENS QUAY (PX 2416)","",""
"5623",5953,6,2,"BAYVIEW AVE AT FLEMING CRES & MANOR RD (PX 172)","",""
"10222",21173,6,2,"MELROSE AVE / TEDDINGTON PK AVE AT YONGE ST","",""
"5348",5672,6,2,"COLLEGE ST AT DUFFERIN ST (PX 605)","",""
"4763",5066,6,2,"CONLINS RD AT ELLESMERE RD (PX 1569)","",""
"17263",29005,6,2,"YONGE ST AT HIGHWAY 401 N RAMP","",""
"4219",4509,6,2,"HARBORD ST AT MONTROSE AVE (PX 1697)","",""
"11680",22782,6,2,"FRONT ST E AT OVEREND ST","",""
"23190",35365,6,2,"CHERRY ST AT FG GARDINER UNDERPASS","",""
"16698",28403,6,2,"DE GRASSI ST AT GERRARD ST","",""
"4198",4487,6,2,"ALLIANCE AVE AT JANE ST (PX 525)","",""
"19565",31497,6,2,"BRADBROOK RD AT ISLINGTON AVE","",""
"6885",12297,6,2,"CASSELS AVE AT WOODBINE AVE","",""
"13506",24877,6,2,"BURLEY AVE AT MORTIMER AVE","",""
"4199",4488,6,2,"FALSTAFF AVE AT GORDON MACKAY RD & JANE ST (PX 531)","",""
"5461",5788,6,2,"DANFORTH RD AT SEMINOLE AVE (PX 969)","",""
"6687",11887,6,2,"LAIRD DR AT LEA AVE","",""
"17492",29244,6,2,"KEEWATIN AVE AT MOUNT PLEASANT RD","",""
"24901",37197,6,2,"BRANDON AVE AT LANSDOWNE AVE","",""
"12937",24253,6,2,"BARTLETT AVE AT SHANLEY ST","",""
"20606",32615,6,2,"BURMONT RD AT RIDELLE AVE","",""
"18310",30140,6,2,"AMSTERDAM AVE AT GLENBURN AVE","",""
"5327",5649,6,2,"COLLEGE ST AT DOVERCOURT RD (PX 830)","",""
"4059",4343,6,2,"DON MILLS RD AT YORK MILLS RD (PX 626)","",""
"4437",4736,6,2,"DON MILLS RD AT WYNFORD DR (PX 822)","",""
"5658",5989,6,2,"COXWELL AVE AT GLEBEHOLME BLVD (PX 1498)","",""
"5901",6257,6,2,"KLONDIKE DR AT STEELES AVE","",""
"23194",35369,6,2,"DUNDAS ST AT GORE VALE AVE","",""
"4234",4525,6,2,"KEELE ST AT STEELES AVE (PX 602)","",""
"6250",11237,6,2,"CLAXTON BLVD AT KENWOOD AVE","",""
"4849",5153,6,2,"FINCH AVE AT HIGHWAY 404 W TCS (PX 1182)","",""
"19928",31902,6,2,"CORONA ST AT LAWRENCE AVE W (PX 2364)","",""
"5543",5870,6,2,"LAWRENCE AVE AT W R ALLEN RD W TCS (PX 1157)","",""
"3874",4151,6,2,"EGLINTON AVE AT MARKHAM RD (PX 463)","",""
"6251",11238,6,2,"MANOR RD AT SERVINGTON CRES","",""
"24734",37015,6,2,"GIDLEY RD AT ST CLAIR AVE E","",""
"3870",4147,6,2,"BATHURST ST AT LAWRENCE AVE (PX 423)","",""
"4723",5026,6,2,"LAWRENCE AVE AT ROYAL YORK RD & THE WESTWAY (PX 780)","",""
"4686",4988,6,2,"BATHURST ST AT SHEPPARD AVE (PX 672)","",""
"16172",27828,6,2,"HECTOR AVENUE AT MELITA AVENUE","",""
"4183",4472,6,2,"QUEEN ST AT WOODFIELD RD","",""
"5316",5638,6,2,"DANFORTH AVE AT DONLANDS AVE (PX 347)","",""
"5530",5857,6,2,"# 4400 DUFFERIN ST AT DUFFERIN ST & 250M N STANSTEAD DR (PX 1625)","",""
"17254",28995,6,2,"LEONARD AVE AT NASSAU ST","",""
"23409",35597,6,2,"MARKHAM RD AT TURBINA AVE","",""
"18830",30685,6,2,"QUEEN ST AT SIMCOE ST","",""
"6859",12230,6,2,"ALNESS ST AT FLINT RD (PX 1876)","",""
"24400",36658,6,2,"PHARMACY AVE AT 115M NORTH OF RANNOCK ST (PX 2268)","",""
"10060",21008,6,2,"PARK RD AT ROSEDALE VALLEY RD","",""
"5993",6385,6,2,"ATHLONE RD AT O CONNOR DR","",""
"4854",5158,6,2,"ALAMOSA DR AT FINCH AVE & PINEWAY BLVD (PX 999)","",""
"25540",37891,6,2,"MIDLAND AVE AT WOLFE AVE","",""
"3942",4221,6,2,"LIVONIA PL AT NEILSON RD & PURPLEDUSK TRL (PX 1778)","",""
"16162",27818,6,2,"CUMBERLAND ST AT PARKING LOT EAST OF BAY ST","",""
"4276",4568,6,2,"ALLIANCE AVE AT ROCKCLIFFE BLVD (PX 3009)","",""
"4133",4420,6,2,"GALLOWAY RD AT KINGSTON RD (PX 145)","",""
"5332",5654,6,2,"ANNETTE ST AT INDIAN ROAD CRES","",""
"23096",35267,6,2,"COPPERFIELD RD AT MANSE RD","",""
"12909",24210,6,2,"BETA ST AT HORNER AVE (PX 1957)","",""
"23024",35189,6,2,"CRESCENT TOWN PL AT MASSEY SQ","",""
"6835",12176,6,2,"BEACONSFIELD AVE AT CROSS ST","",""
"24281",36525,6,2,"EMERSON AVE AT PATON ROAD","",""
"5863",6209,6,2,"GLENLAKE AVE AT HIGH PARK AVE","",""
"4677",4979,6,2,"EGLINTON AVE AT ROSTREVOR RD (PX 438)","",""
"6060",6454,6,2,"ALLINGHAM GDNS AT WILSON AVE (PX 1477)","",""
"3673",3944,6,2,"O CONNOR DR AT 40M S OF WAKUNDA PL (PX 604)","",""
"16572",28268,6,2,"CINDER AV AT CRAWFORD ST","",""
"4055",4337,6,2,"DON MILLS RD AT O CONNOR DR (PX 444)","",""
"15522",27091,6,2,"ALHAMBRA AVE AT BLOOR ST W","",""
"14920",26432,6,2,"GLEBEHOLME BLVD AT WOODMOUNT AVE","",""
"23791",36003,6,2,"ARGYLE ST AT SHAW ST","",""
"20812",32830,6,2,"CASTLETON AVE AT ST CLAIR AVE","",""
"4408",4707,6,2,"BROWNS LINE AT HORNER AVE (PX 763)","",""
"5125",5439,6,2,"CULFORD RD AT LAWRENCE AVE (PX 429)","",""
"4984",5291,6,2,"BEVERLEY ST AT DUNDAS ST (PX 266)","",""
"4947",5253,6,2,"ADELAIDE ST AT YORK ST (PX 73)","",""
"5322",5644,6,2,"DANFORTH AVE AT MAIN ST (PX 353)","",""
"13311",24667,6,2,"LANGLEY AVE AT LOGAN AVE","",""
"6841",12189,6,2,"DAVENPORT RD AT MACPHERSON AVE & MACPHERSON AVE","",""
"4651",4953,6,2,"HUNTINGWOOD DR AT MCCOWAN RD & MIDDLEFIELD RD (PX 1243)","",""
"7082",12899,6,2,"MARTIN GROVE RD AT MILKWOOD AVE (PX 1959)","",""
"5669",6000,6,2,"PLAINS RD AT WOODBINE AVE","",""
"3981",4260,6,2,"PARLIAMENT ST AT WINCHESTER ST (PX 922)","",""
"17856",29649,6,2,"GRAYDON HALL DR AT GRAYDON HALL PL","",""
"5099",5413,6,2,"AVENUE RD AT CUMBERLAND ST","",""
"3967",4246,6,2,"BLYTHWOOD RD AT MOUNT PLEASANT RD (PX 140)","",""
"25541",37892,6,2,"MARTIN GROVE RD AT ROYALCREST RD","",""
"6625",11748,6,2,"KNIGHT ST AT MORTIMER AVE","",""
"4484",4785,6,2,"CURITY AVE AT O CONNOR DR (PX 1680)","",""
"25655",38017,6,2,"JAMES FINLAY WAY AT WILSON AVE (PX 2281)","",""
"3820",4096,6,2,"PENGELLY CRT AT ST CLAIR AVE","",""
"19198",31102,6,2,"BURNETT AVE AT SENLAC RD","",""
"21208",33249,6,2,"DUNDAS ST AT EARLINGTON AVE","",""
"25463",37812,6,2,"HERBERT AVE AT QUEEN ST E","",""
"19245",31153,6,2,"BEDFORD RD AT PRINCE ARTHUR AVE","",""
"4837",5141,6,2,"DUNDAS ST AT ISLINGTON AVE (PX 706)","",""
"4187",4476,6,2,"BIRCHMOUNT RD AT SANWOOD BLVD & WINTERMUTE BLVD (PX 1504)","",""
"3748",4023,6,2,"BEVERLY HILLS DR AT JANE ST (PX 1409)","",""
"14524",25979,6,2,"DUNDAS ST W AT DUPONT ST","",""
"15517",27085,6,2,"BAIN AVE AT CARLAW AVE","",""
"4002",4283,6,2,"BAYVIEW AVE AT RUDDINGTON DR (PX 653)","",""
"17727",29504,6,2,"FORMAN AVE AT HILLSDALE AVE E","",""
"5637",5967,6,2,"GLEN WATFORD DR AT SHEPPARD AVE (PX 1436)","",""
"16421",28094,6,2,"KINGSTON RD AT LOCHLEVEN DR","",""
"5159",5475,6,2,"BAYVIEW AVE AT CITATION DR & EMPRESS AVE (PX 649)","",""
"5767",6099,6,2,"CLAYSON RD AT WILSON AVE (PX 813)","",""
"24088",36321,6,2,"EPIC LANE RD AT WILSON AVE","",""
"3756",4031,6,2,"DUNDAS ST AT MUNRO ST (PX 1117)","",""
"5671",6002,6,2,"GERRARD ST AT MAIN ST (PX 363)","",""
"4215",4505,6,2,"OLD KENNEDY RD AT SILVER STAR BLVD & STEELES AVE (PX 1264)","",""
"4937",5243,6,2,"EVANS AVE AT HORNER AVE (PX 774)","",""
"19097",30988,6,2,"DON VALLEY PKWY N AT EGLINTON AVE E/DVP N RAMP","",""
"17493",29245,6,2,"HILLSDALE AVE AT MOUNT PLEASANT RD","",""
"5634",5964,6,2,"LOGAN AVE AT QUEEN ST (PX 544)","",""
"4906",5211,6,2,"KINGSTON RD AT RYLANDER BLVD (PX 1531)","",""
"8462",15414,6,2,"CRAWFORD ST AT SHANK ST","",""
"8139",14966,6,2,"PALMERSTON AVE AT QUEEN ST W & TECUMSEH ST (PX 1969)","",""
"3990",4270,6,2,"OLD YONGE ST AT YORK MILLS RD","",""
"19273",31183,6,2,"ESTHER SHINER BLVD AT OLD LESLIE ST (PX 2041)","",""
"4292",4585,6,2,"BATHURST ST AT VAUGHAN RD","",""
"22172",34269,6,2,"HELENDALE AVE AT YONGE ST","",""
"4426",4725,6,2,"KIPLING AVE AT NORSEMAN ST (PX 725)","",""
"4075",4360,6,2,"ISLINGTON AVE AT STEELES AVE (PX 1208)","",""
"5070",5383,6,2,"EGLINTON AVE AT MASON RD (PX 638)","",""
"3702",3975,6,2,"DANFORTH AVE AT DANFORTH RD (PX 357)","",""
"23195",35370,6,2,"CLINTON ST AT HENDERSON AVE","",""
"3768",4043,6,2,"BERTRAND AVE AT KENNEDY RD (PX 1057)","",""
"5678",6009,6,2,"MARTIN GROVE RD AT STEELES AVE (PX 1486)","",""
"4725",5028,6,2,"BERNER TR AT NEILSON RD & WICKSON TRL (PX 1474)","",""
"5979",6370,6,2,"COLUMBINE AVE AT KINGSTON RD","",""
"5612",5942,6,2,"BYNG AVE AT YONGE ST","",""
"4009",4290,6,2,"MANHATTAN DR AT WARDEN AVE (PX 914)","",""
"24629",36902,6,2,"BELLWOODS AVE AT TREFORD PL","",""
"4919",5224,6,2,"ALBION RD AT ELMHURST DR (PX 723)","",""
"4250",4542,6,2,"BRIMLEY RD AT DORCOT AVE (PX 1282)","",""
"16438",28112,6,2,"# 3100 KINGSTON RD AT KINGSTON RD WEST OF FENWOOD HTS","",""
"3789",4065,6,2,"DANFORTH AVE AT EAST LYNN AVE & WOODMOUNT AVE (PX 1281)","",""
"5012",5320,6,2,"KEELE ST AT NORTH PARK DR","",""
"4298",4591,6,2,"BATHURST ST AT RANEE AVE (PX 316)","",""
"6846",12208,6,2,"QUEEN ST W & SORAUREN AVE (PX 1745)","",""
"4771",5074,6,2,"GERRARD ST AT SUMACH ST (PX 1390)","",""
"6825",12163,6,2,"DAWES RD AT PHARMACY AVE","",""
"25652",38014,6,2,"BRIMLEY RD AT HWY 401 EB OFF RAMP (SOUTH SIDE)","",""
"5751",6083,6,2,"ORIOLE PKWY AT OXTON AVE","",""
"4896",5201,6,2,"BLACK CREEK DR AT HUMBER BLVD & WESTON RD (PX 577)","",""
"3898",4175,6,2,"BLOOR ST AT SPADINA AVE & SPADINA RD (PX 281)","",""
"5312",5634,6,2,"BLOOR ST AT GREEN LANES (PX 1676)","",""
