"group_number","group_number","same_volume"
10521,10561,t
10523,10462,t
10525,7375,t
10528,22740,t
10550,28493,t
10559,4978,t
10564,24113,t
10564,24998,t
10566,25796,t
10585,6598,t
10595,6870,t
10610,24300,t
10627,27427,t
10630,23011,t
10634,8749,t
10656,16436,t
10720,30881,t
10676,10727,t
10678,7837,t
10678,15443,t
10679,14266,t
10694,10745,t
10695,13677,t
10703,19779,t
10754,20628,t
10714,16504,t
10714,21498,t
10726,255,t
10727,10676,t
10727,20856,t
10745,10694,t
10749,4787,t
10757,8540,t
10757,8694,t
10776,11292,t
10778,10799,t
10778,19637,t
10781,1238,t
10782,16227,t
10783,21082,t
10784,24386,t
10792,19085,t
10799,10778,t
10800,20222,t
11525,7399,t
10805,28187,t
10807,27866,t
10811,26548,t
10814,19357,t
10815,26952,t
10817,29968,t
10820,16568,t
10824,3703,t
10853,5484,t
10854,11495,t
10858,16499,t
10866,10897,t
10872,8835,t
10876,16644,t
10882,2466,t
10885,6223,t
10897,10866,t
10903,22968,t
10908,29963,t
10917,19508,t
10919,14712,t
10921,10930,t
10922,31031,t
10923,22746,t
10930,10921,t
10943,12700,t
10943,14150,t
10959,20520,t
10960,9465,t
10963,21982,t
10980,26700,t
10981,4853,t
10988,23422,t
10995,19908,t
10995,24986,t
10997,11263,t
10997,11299,t
11005,11189,t
11019,9824,t
11023,7425,t
11031,2674,t
11031,6110,t
11042,11230,t
11047,19570,t
11059,2793,t
11074,12336,t
11084,18495,t
11084,27185,t
11087,9332,t
11091,840,t
11122,25558,t
11123,24579,t
11112,14395,t
11140,2665,t
11160,6212,t
11170,1620,t
11200,11199,t
11200,14675,t
11189,11005,t
11190,15062,t
11263,10997,t
11406,9088,t
11199,11200,t
11199,18648,t
11211,16435,t
11212,8969,t
11218,27778,t
11221,6223,t
11230,11042,t
11230,21186,t
11236,11595,t
11239,14961,t
11241,15052,t
11266,2847,t
15801,20249,t
11281,12218,t
11289,2172,t
11291,15749,t
11341,22778,t
11292,10776,t
11293,13446,t
11297,1183,t
11299,10997,t
11299,18038,t
11317,30257,t
11318,9032,t
11331,24249,t
11332,12879,t
11332,17240,t
11335,27875,t
11353,11388,t
16007,15995,t
16007,16015,t
21463,2687,t
21463,15620,t
11388,11353,t
11396,16058,t
11400,8545,t
11418,8926,t
11414,27379,t
11416,29191,t
11417,379,t
11420,15189,t
11437,27630,t
11459,19346,t
11459,21059,t
11462,12942,t
11463,17732,t
11463,25886,t
11464,18041,t
11464,26282,t
11470,6048,t
11470,22540,t
11530,231,t
11530,391,t
11495,10854,t
11496,27445,t
11500,16227,t
11500,18524,t
25441,22053,t
25441,27963,t
11512,26494,t
11513,17408,t
11517,23218,t
11524,12149,t
11524,12315,t
11533,25042,t
11537,14260,t
11539,27469,t
11557,4779,t
11574,5970,t
11587,30319,t
11591,20701,t
11591,11593,t
11634,19453,t
11594,30091,t
11595,11236,t
11708,25872,t
11630,12464,t
11610,7197,t
11610,24570,t
11613,23655,t
11622,12301,t
11625,12875,t
11629,30735,t
11640,7989,t
11661,9741,t
11676,7277,t
11678,21858,t
11701,30366,t
11705,19548,t
11717,19683,t
11728,7056,t
11728,11772,t
11733,2458,t
11760,51,t
11740,14988,t
11741,14977,t
11741,15001,t
11766,688,t
13273,5936,t
13273,30412,t
11772,11728,t
11772,13613,t
11796,1783,t
11796,14651,t
11803,7706,t
11803,7703,t
11881,24314,t
11882,12415,t
11993,14943,t
11810,17599,t
12350,12428,t
12350,24886,t
11813,27897,t
11884,14127,t
11826,23936,t
11830,12106,t
11831,20667,t
11831,15517,t
26166,8090,t
11847,24361,t
11857,9493,t
11886,6106,t
11890,20344,t
11891,2967,t
11893,13924,t
11902,14964,t
11903,30972,t
11928,3772,t
11971,14222,t
11971,27971,t
11994,14863,t
11935,16663,t
11940,10169,t
11947,25275,t
11949,4580,t
11953,28894,t
11955,29575,t
11968,8595,t
11976,17505,t
11976,26021,t
11980,24411,t
11984,15125,t
11990,9440,t
11998,13494,t
12002,12003,t
12003,12002,t
12004,24240,t
12010,27554,t
12012,5825,t
12012,8577,t
12017,17823,t
12019,27158,t
12025,17490,t
12035,15889,t
12047,15971,t
12075,25623,t
12078,1784,t
12082,23514,t
12085,1879,t
12094,19574,t
12106,11830,t
12106,12626,t
12143,25138,t
12149,11524,t
12150,13694,t
12150,13953,t
12152,12208,t
12152,18038,t
12159,21917,t
12161,13920,t
12181,17263,t
12184,24314,t
12190,15239,t
12194,11028,t
12207,8943,t
12207,27492,t
12208,12152,t
12216,12662,t
16035,16017,t
12218,11281,t
12230,25476,t
12230,26428,t
12256,3063,t
12262,8823,t
12266,15405,t
12271,9859,t
12271,28133,t
12274,15754,t
12280,127,t
12295,7837,t
12301,11622,t
12304,14000,t
12309,19372,t
12330,12772,t
12310,2511,t
12310,30375,t
12315,11524,t
12315,18522,t
12317,8192,t
12328,13939,t
12336,11074,t
12349,88,t
12377,7724,t
12395,15533,t
12415,11882,t
12428,12350,t
12430,7092,t
12438,2541,t
12447,7324,t
12464,11630,t
12464,19861,t
12468,19500,t
12468,25406,t
12471,25046,t
12471,25683,t
12475,2869,t
12486,18864,t
12524,20324,t
12524,27289,t
12507,12521,t
12509,21014,t
12513,27289,t
12521,12507,t
12534,2550,t
12555,28529,t
12573,17998,t
12574,18031,t
12577,3238,t
12577,27164,t
12584,8618,t
12586,12612,t
12599,12627,t
12604,16380,t
12604,26812,t
12612,12586,t
12623,17803,t
12626,12106,t
12627,12599,t
12683,12679,t
12636,3637,t
12641,12673,t
12642,12664,t
12642,13103,t
12644,21203,t
12650,12676,t
12654,12661,t
12657,12678,t
12661,12654,t
12662,12216,t
12664,12642,t
12673,12641,t
12676,12650,t
12678,12657,t
12679,12683,t
12868,15121,t
12698,24413,t
12700,10943,t
12700,22986,t
12705,12737,t
12718,12758,t
12729,10355,t
12731,12518,t
12758,12718,t
12737,12705,t
12741,8659,t
12781,21127,t
12772,12330,t
12777,25779,t
12783,3081,t
12790,26798,t
12806,12840,t
12821,13538,t
12823,12854,t
12840,12806,t
13011,13020,t
12828,618,t
12836,12876,t
12852,6467,t
12853,8163,t
12853,8965,t
12854,12823,t
12855,19080,t
12863,5650,t
12864,12892,t
12869,12548,t
12870,23731,t
12873,30005,t
12875,11625,t
12876,12836,t
12877,30916,t
12879,11332,t
12887,13716,t
12892,12864,t
12897,20201,t
12902,4270,t
12906,12936,t
12921,12938,t
12933,1666,t
12936,12906,t
12938,12921,t
12942,11462,t
13005,18175,t
12985,3740,t
12988,2120,t
12999,62,t
13019,19705,t
13020,13011,t
13030,6070,t
13030,14268,t
13103,12642,t
13107,29331,t
13124,5345,t
13128,16314,t
13144,21049,t
13159,19355,t
13160,12037,t
13166,24524,t
13169,13095,t
13172,2214,t
13178,24187,t
16314,13128,t
13205,25789,t
13208,16756,t
13218,24284,t
13240,5886,t
13222,13242,t
13227,7450,t
13242,13222,t
13243,10246,t
13246,28363,t
13254,24570,t
13255,4301,t
13258,2072,t
13269,21494,t
13278,21654,t
13280,5032,t
13284,25131,t
13451,24121,t
13293,2408,t
13298,27832,t
13306,2588,t
13311,22025,t
13320,22560,t
13322,2058,t
13336,14859,t
13345,14219,t
13402,13216,t
13435,28391,t
13446,11293,t
13472,30458,t
13481,14976,t
13527,15908,t
22097,3836,t
13494,11998,t
13495,23328,t
13495,29929,t
27816,454,t
13538,12821,t
13544,5812,t
13547,21079,t
13572,17636,t
13572,30557,t
13573,6376,t
13581,1145,t
13591,28495,t
13613,11772,t
13626,14806,t
13642,13659,t
13653,13673,t
13659,13642,t
13660,13691,t
13671,21708,t
13673,13653,t
13673,13689,t
13703,13677,t
13677,10695,t
13677,13703,t
13678,13706,t
13689,13673,t
13690,20981,t
13691,13660,t
13691,26260,t
13694,12150,t
13694,13981,t
13697,7114,t
13699,13723,t
13730,9305,t
13730,9826,t
13706,19515,t
13706,13678,t
13716,12887,t
13719,30471,t
13723,13699,t
13723,13749,t
13725,21647,t
13737,7009,t
13743,24555,t
13749,13723,t
13761,13775,t
13775,6249,t
13775,13761,t
13791,5877,t
13796,23062,t
13822,11942,t
13822,12797,t
13949,6641,t
13861,13864,t
13864,13861,t
13866,21443,t
13881,27274,t
13895,14296,t
13897,6373,t
13897,27083,t
13901,19748,t
13914,8701,t
13916,20971,t
13917,24940,t
13920,12161,t
13922,4126,t
13924,11893,t
13928,4187,t
13932,4141,t
13932,10369,t
13939,12328,t
13946,8635,t
13953,12150,t
13963,4935,t
13974,16279,t
13974,24249,t
13981,13694,t
13981,13990,t
13982,26145,t
13990,13981,t
13990,28917,t
13994,1891,t
13994,8561,t
14000,12304,t
14004,14035,t
14005,25105,t
14008,14011,t
14011,14008,t
14013,8475,t
14039,30238,t
14017,585,t
14017,25305,t
14025,14054,t
14031,29767,t
14035,14004,t
14041,6636,t
14050,7026,t
14051,2951,t
14051,25455,t
14054,14025,t
14088,8956,t
14088,24717,t
14089,17256,t
14097,14136,t
14098,14134,t
14101,14143,t
14109,23620,t
14143,14101,t
14144,5825,t
14115,5471,t
14115,25526,t
14118,3940,t
14120,18377,t
14124,14140,t
14127,11884,t
14129,9811,t
14133,27940,t
14134,14098,t
14134,22585,t
14135,28052,t
14136,14097,t
14150,10943,t
14197,14741,t
14197,6612,t
14199,15462,t
14178,29860,t
14179,18875,t
14180,14248,t
14206,3408,t
14209,8944,t
14209,25158,t
14218,14225,t
14218,15620,t
14219,13345,t
14222,8217,t
14222,11971,t
14225,14218,t
14410,77,t
14410,29865,t
14226,17260,t
14237,9247,t
14248,14180,t
14248,30134,t
14251,7099,t
14260,11537,t
14266,10679,t
14268,13030,t
14295,22784,t
14296,13895,t
14347,14374,t
14358,14522,t
14374,14347,t
14533,4233,t
14395,7818,t
14395,11112,t
14397,8463,t
14408,19702,t
14416,18701,t
14425,14475,t
14565,16435,t
14434,6938,t
14435,19313,t
14436,20949,t
14437,14779,t
14447,90,t
14452,20970,t
14455,4530,t
14455,18759,t
14461,30360,t
14467,6461,t
14493,5445,t
14475,14425,t
14492,10268,t
14496,385,t
14506,7363,t
14522,14358,t
14537,8721,t
14539,27897,t
14540,2195,t
14541,7383,t
14589,23893,t
14562,4112,t
14569,19154,t
14569,24986,t
14581,27300,t
14582,20177,t
14614,7772,t
14616,30730,t
14619,4099,t
14620,2713,t
14625,15440,t
14625,20756,t
14636,7007,t
14636,9932,t
14638,19475,t
14675,11200,t
14650,18223,t
14651,4206,t
14651,11796,t
14655,25997,t
14666,4708,t
14673,11,t
14676,5,t
14680,20536,t
14690,27026,t
14692,245,t
14693,15770,t
14697,14710,t
14705,20266,t
14710,14697,t
14712,2561,t
14712,10919,t
14733,249,t
14715,22198,t
14718,19752,t
14722,309,t
14724,20131,t
14754,15335,t
14755,17284,t
14741,14197,t
14783,21343,t
14783,29888,t
14765,21656,t
14768,16398,t
14770,19661,t
14779,14437,t
14782,20551,t
14806,7942,t
14806,13626,t
14807,28024,t
14816,7942,t
14826,30855,t
14844,20721,t
14844,21832,t
14874,30694,t
14874,30907,t
14850,2078,t
14850,14851,t
14856,19231,t
14875,14860,t
14875,14902,t
14859,13336,t
14860,9100,t
14860,14875,t
14862,23663,t
14863,11994,t
14863,27944,t
14873,25073,t
14882,2078,t
14882,4859,t
14890,14948,t
14892,14884,t
14896,14894,t
14902,14875,t
14902,8982,t
14915,2171,t
14942,5473,t
14943,11993,t
15330,15320,t
14921,10079,t
14930,15971,t
14933,14939,t
14938,24733,t
14939,14933,t
14946,29752,t
14947,14922,t
14948,14890,t
14952,17445,t
14961,11239,t
14961,17222,t
14964,11902,t
14966,7495,t
14966,14984,t
14974,845,t
14977,11741,t
14978,24408,t
27274,13881,t
27274,22652,t
14984,14966,t
14985,19698,t
14985,25638,t
15111,812,t
15111,8250,t
15111,20290,t
15111,22257,t
14987,9737,t
14999,21212,t
15001,11741,t
15004,8054,t
15006,27993,t
15010,15048,t
15019,24491,t
15032,8145,t
15035,27591,t
15036,2136,t
15036,7297,t
15040,19118,t
15041,22386,t
15063,15100,t
15048,15010,t
15050,8649,t
15052,11241,t
15125,11984,t
15060,16200,t
15062,11190,t
15385,15430,t
15385,18233,t
15067,15102,t
15072,2861,t
15072,18449,t
15076,8171,t
15083,25831,t
15083,20317,t
15088,28480,t
15090,20192,t
15094,20264,t
15100,15063,t
15101,23218,t
15102,15067,t
15120,605,t
15121,12868,t
15611,1845,t
15611,15561,t
15104,9875,t
15109,17831,t
15583,15499,t
15140,15203,t
15153,9088,t
15155,30014,t
28309,25837,t
15166,15199,t
28310,24785,t
15169,26042,t
15174,24060,t
15176,25042,t
15179,20551,t
15634,15644,t
15180,21627,t
15180,24402,t
15189,11420,t
15207,15243,t
15198,1867,t
15203,15140,t
15203,18834,t
15212,8773,t
15387,15323,t
15387,28758,t
15234,30335,t
15236,28470,t
15239,12190,t
15240,15235,t
15320,15330,t
15243,15207,t
15246,15288,t
15265,6465,t
15287,15338,t
15323,15387,t
15323,30551,t
15277,22441,t
15281,21922,t
15288,15246,t
15324,15290,t
15324,28554,t
15290,15324,t
15290,16351,t
15310,15365,t
15306,21771,t
15306,22328,t
15307,18233,t
15316,15348,t
15318,8290,t
15335,14754,t
15336,1873,t
15338,15287,t
15820,15812,t
15820,15825,t
15365,15310,t
15341,3206,t
15344,15412,t
15348,15316,t
15354,15419,t
15475,15469,t
15476,30908,t
15370,15625,t
15370,29842,t
15360,1754,t
15379,8200,t
15644,15634,t
15396,18006,t
15397,22013,t
15398,9986,t
15398,30105,t
15405,12266,t
15406,8667,t
15443,10678,t
15407,26037,t
15478,15531,t
15430,15385,t
15430,15472,t
15411,1878,t
15411,20934,t
15412,15344,t
15419,15354,t
15426,4199,t
15434,1885,t
15436,25384,t
15440,14625,t
15440,18812,t
15441,15363,t
15447,8658,t
15452,28205,t
15912,1767,t
15912,19671,t
15454,15536,t
15460,27787,t
15462,14199,t
15463,15517,t
15466,15520,t
15466,19328,t
15467,15515,t
15469,15475,t
15472,15430,t
15528,27164,t
15496,6877,t
15496,9570,t
15499,15583,t
15501,1878,t
15501,15544,t
15515,15467,t
15515,23242,t
15517,11831,t
15517,15463,t
15518,24477,t
15520,15466,t
15520,21642,t
15530,15546,t
15531,15478,t
15536,15454,t
15539,24365,t
15544,15501,t
15545,29949,t
15546,15530,t
15553,17716,t
15554,5021,t
15554,19896,t
27580,8708,t
15561,15611,t
15563,8586,t
15567,15577,t
15588,18328,t
15577,15567,t
15609,15617,t
15609,18812,t
15603,1885,t
15625,15370,t
15608,15613,t
15613,15608,t
15615,28246,t
15616,15630,t
15617,15609,t
15620,21463,t
15620,14218,t
15623,30994,t
15630,15616,t
15632,27894,t
15633,15647,t
15639,15668,t
15646,5147,t
15647,5732,t
15647,15633,t
15648,1988,t
15648,30904,t
15668,1849,t
15668,15639,t
15755,15753,t
15755,15776,t
15693,22701,t
15705,15732,t
15711,9012,t
15711,25602,t
15721,21177,t
15725,6209,t
15725,23268,t
27582,26572,t
15732,15705,t
15994,30226,t
15744,5309,t
15744,9203,t
15746,16275,t
15747,4801,t
15749,11291,t
15753,15755,t
15754,12274,t
15754,12325,t
15995,16007,t
15995,15977,t
15770,14693,t
15776,15755,t
15781,27786,t
15782,19652,t
15796,3982,t
15804,15827,t
15805,15889,t
15805,30146,t
15812,15820,t
15825,15820,t
16312,8193,t
16312,22476,t
15827,15804,t
16499,10858,t
15849,23754,t
15876,1666,t
15876,27185,t
15886,20620,t
15889,12035,t
15889,15805,t
15908,13527,t
15918,22572,t
15933,23260,t
15934,16264,t
15936,15965,t
15943,15956,t
15945,19812,t
15956,15943,t
15965,15936,t
15966,21343,t
15971,12047,t
15971,14930,t
15977,15995,t
15990,26173,t
15991,22971,t
15992,23012,t
15996,20123,t
16005,16008,t
16008,16005,t
16015,16007,t
16017,16035,t
16018,26741,t
16020,24482,t
16024,30372,t
16037,4476,t
16040,8947,t
16044,30306,t
16046,24143,t
16057,30707,t
16058,11396,t
16063,30728,t
16084,21401,t
16114,29822,t
16117,20752,t
16132,4592,t
16137,16146,t
16139,17259,t
16153,8922,t
16184,25222,t
16200,15060,t
16200,27436,t
16205,17234,t
16205,22393,t
16286,23193,t
16207,16208,t
16208,16207,t
16209,22078,t
16209,23826,t
16223,26844,t
16226,6249,t
16226,16459,t
16227,10782,t
16227,11500,t
16228,16536,t
16244,4308,t
16255,31034,t
16264,15934,t
16271,20729,t
16273,26494,t
16275,15746,t
16279,13974,t
28192,6002,t
28192,10266,t
16325,8888,t
16326,8881,t
16327,30429,t
16328,8870,t
16331,8857,t
16332,8847,t
16333,8217,t
16339,8829,t
16341,8841,t
16343,8834,t
16348,277,t
16349,16409,t
16351,9098,t
16351,15290,t
16368,17990,t
16370,7550,t
16380,12604,t
16383,20445,t
16394,21977,t
16398,3270,t
16398,14768,t
16403,817,t
16406,7766,t
16406,790,t
16409,16349,t
16457,26979,t
16459,16226,t
16431,27170,t
16432,6475,t
16432,9887,t
16435,11211,t
16435,14565,t
16436,10656,t
16436,26544,t
16450,3231,t
16470,27110,t
16474,10956,t
16516,19936,t
16487,17918,t
16487,30008,t
16495,26867,t
16504,8939,t
16504,10714,t
16509,30055,t
16514,16523,t
16523,16514,t
16528,16551,t
28495,13591,t
16536,16228,t
16551,16528,t
16551,19405,t
16562,16565,t
16563,3664,t
16565,16562,t
16568,10820,t
16571,22305,t
16591,7738,t
16574,21372,t
16596,25452,t
16581,22230,t
16586,5143,t
16589,29893,t
16593,26942,t
16599,16616,t
16616,16599,t
16619,16849,t
16630,3057,t
16650,16666,t
16635,20014,t
16644,10876,t
16645,19806,t
16661,30501,t
16663,11935,t
16666,16650,t
16681,16690,t
16690,16681,t
16699,16721,t
16710,17618,t
16721,16699,t
16724,27639,t
16731,10704,t
16739,16747,t
16747,16739,t
16748,16784,t
16756,13208,t
16761,26264,t
16769,16788,t
16772,22620,t
16775,1657,t
16788,16769,t
16801,7897,t
16801,16834,t
16812,21438,t
16834,16801,t
16834,16854,t
16849,16619,t
16854,16834,t
16897,9584,t
16929,24355,t
16939,4721,t
16940,18952,t
16950,6856,t
16967,16980,t
16968,25,t
16976,28866,t
16980,16967,t
16980,16552,t
17004,24161,t
17014,7242,t
17014,23511,t
17020,30969,t
17023,29419,t
17027,28601,t
17035,30185,t
17038,21342,t
17056,17061,t
17063,17270,t
17129,21846,t
17149,9092,t
17159,28238,t
17165,7356,t
17182,6944,t
17195,22803,t
17219,21584,t
17207,21809,t
17214,17225,t
17215,26814,t
17222,14961,t
17225,17214,t
17231,23663,t
17234,16205,t
17236,30296,t
17240,11332,t
17240,27781,t
17247,23349,t
17256,14089,t
17258,8262,t
17259,16139,t
17260,14226,t
17262,19483,t
17263,12181,t
17270,3079,t
17270,17063,t
17277,24816,t
17281,28601,t
17284,14755,t
17286,27791,t
17287,25388,t
17294,4645,t
17311,2241,t
17348,6768,t
17351,732,t
17351,6851,t
17362,27220,t
17369,28220,t
17370,2554,t
17373,6743,t
17379,24408,t
17382,224,t
17408,11513,t
17411,18618,t
17417,1687,t
17417,20722,t
17445,14952,t
17469,5900,t
17480,23714,t
17490,12025,t
17505,11976,t
17523,23464,t
17531,17561,t
17540,10368,t
17555,7676,t
17561,7407,t
17561,17531,t
17599,11810,t
17603,24696,t
17611,24833,t
17640,739,t
17618,16710,t
17636,13572,t
17645,192,t
17645,30478,t
17647,18681,t
17650,3360,t
17650,3382,t
17654,5488,t
17654,19391,t
17715,18272,t
17723,24669,t
17732,11463,t
17732,29384,t
17750,6828,t
17750,25654,t
17758,27723,t
17823,12017,t
17788,65,t
17822,3395,t
17803,12623,t
17803,23935,t
17872,6326,t
17826,28555,t
17829,7336,t
17831,15109,t
17838,823,t
17857,1710,t
17857,30443,t
17946,9511,t
17946,22186,t
18034,18808,t
17889,20611,t
17901,28767,t
17918,16487,t
17919,9545,t
17923,5908,t
17930,26960,t
17935,23151,t
17958,24908,t
17962,7723,t
17968,18607,t
17968,21715,t
17971,18945,t
17971,21461,t
17984,20015,t
17987,18870,t
17990,16368,t
17998,12573,t
17999,30439,t
18006,15396,t
18031,12574,t
18031,22013,t
18032,29244,t
18038,11299,t
18038,12152,t
18041,11464,t
18041,18716,t
18051,114,t
18062,24842,t
18064,2967,t
18066,25610,t
18070,7725,t
18070,22911,t
18144,2700,t
18154,553,t
18158,15390,t
18166,20149,t
18175,1724,t
18175,13005,t
18206,18455,t
18223,14650,t
18233,15385,t
18233,15307,t
18239,5567,t
18240,4818,t
18289,31028,t
18246,27113,t
18252,30024,t
18262,27860,t
18272,1788,t
18272,17715,t
18282,9241,t
18283,9709,t
18305,22020,t
18345,20461,t
18316,935,t
18328,15588,t
18351,6926,t
18351,22998,t
18362,30413,t
18377,14120,t
18399,6424,t
18417,2645,t
18417,4428,t
18419,2563,t
18433,9694,t
18434,3715,t
18448,23232,t
18449,15072,t
18455,18206,t
18455,29955,t
18495,11084,t
18497,23465,t
18502,4010,t
18520,29906,t
18522,12315,t
18524,11500,t
18530,20838,t
18634,28681,t
18536,4630,t
18602,627,t
18590,26268,t
18607,17968,t
18607,21524,t
18618,17411,t
18621,24796,t
18623,19731,t
18623,28413,t
18648,11199,t
18661,27057,t
18666,25405,t
18681,17647,t
18701,14416,t
18704,5783,t
18716,18041,t
18723,9369,t
18725,9476,t
18729,24722,t
18729,25638,t
18733,19038,t
18832,7749,t
18752,16289,t
18759,14455,t
18759,18980,t
18766,911,t
18766,26368,t
18797,29903,t
18808,18034,t
18812,15440,t
18812,15609,t
18834,15203,t
18857,19479,t
18860,28386,t
18864,12486,t
18870,17987,t
18871,10049,t
18874,6755,t
18874,10457,t
18875,14179,t
18875,24825,t
18883,25226,t
18886,7801,t
18908,24521,t
18913,21641,t
18930,23434,t
18945,17971,t
18950,29867,t
18952,16940,t
18954,28748,t
19004,2081,t
18980,18759,t
18992,26533,t
19007,9429,t
19037,7653,t
19038,9447,t
19038,18733,t
19052,28658,t
19053,8894,t
19073,3443,t
19080,12855,t
19085,10792,t
19108,10330,t
19115,3590,t
19115,23358,t
19116,8293,t
19118,15040,t
19128,23639,t
19129,20687,t
19135,1874,t
19144,8712,t
19147,28797,t
19149,2848,t
19154,14569,t
19160,26156,t
19178,20670,t
19194,1046,t
19194,21035,t
19199,27016,t
19231,14856,t
19239,23824,t
19272,25658,t
19283,2724,t
19313,14435,t
19328,15466,t
19338,28550,t
19346,11459,t
19346,21432,t
19352,23160,t
19352,28164,t
19353,585,t
19355,873,t
19355,13159,t
19357,10814,t
19372,12309,t
19375,10145,t
19391,17654,t
19397,9667,t
19405,16551,t
19489,9745,t
20201,12897,t
19413,1964,t
29195,935,t
19570,11047,t
19470,23304,t
19470,27787,t
19453,11634,t
19457,24817,t
19475,14638,t
19483,17262,t
19500,12468,t
19508,10917,t
19531,26186,t
19539,26871,t
19548,2232,t
19548,11705,t
19572,7750,t
19574,12094,t
19575,133,t
19586,21137,t
19590,24684,t
29712,3161,t
19604,3655,t
19625,30767,t
19611,21432,t
19617,439,t
19617,28520,t
19806,16645,t
19631,590,t
19650,7642,t
19650,26881,t
19652,15782,t
19653,10233,t
19661,14770,t
19671,15912,t
19683,11717,t
19684,10483,t
19684,23138,t
19698,14985,t
19702,14408,t
19705,13019,t
19712,5673,t
19712,9347,t
19722,25145,t
19731,18623,t
19748,13901,t
19751,3051,t
19752,4794,t
19752,14718,t
19753,23109,t
19753,29210,t
19802,27639,t
19776,24516,t
19776,24833,t
20266,14705,t
19779,10703,t
19781,17875,t
19810,4207,t
19812,15945,t
19818,3075,t
20104,24328,t
19827,30335,t
19832,29378,t
19833,2483,t
19861,1494,t
19861,12464,t
19866,25754,t
19866,30377,t
19868,20018,t
19880,3893,t
19886,9889,t
19896,15554,t
19903,27154,t
19908,10995,t
19936,16516,t
19982,20877,t
19984,24155,t
19951,28357,t
19957,20478,t
19962,21138,t
19967,25942,t
19969,9375,t
20007,19914,t
20014,16635,t
20015,17984,t
20015,27499,t
20018,19868,t
20037,7169,t
20037,22530,t
20060,26812,t
20070,21718,t
20085,4501,t
20092,3350,t
20322,3877,t
20322,8760,t
20099,9254,t
20101,29810,t
20113,10479,t
20116,4541,t
20117,5578,t
20123,15996,t
20131,218,t
20131,14724,t
20145,26459,t
20149,18166,t
20211,18205,t
20160,10088,t
20177,14582,t
20192,15090,t
20222,10800,t
20461,18345,t
20276,24348,t
20290,812,t
20290,15111,t
20290,22257,t
20295,8813,t
20300,22186,t
20307,25906,t
20314,25540,t
20324,12524,t
20326,8142,t
20327,24052,t
20344,11890,t
20364,651,t
20386,22020,t
20372,22896,t
20377,24796,t
20398,3439,t
20405,10483,t
20445,16383,t
20418,30375,t
20423,10217,t
20450,11060,t
20478,19957,t
20483,8586,t
20483,27363,t
20513,27160,t
20520,10959,t
20531,9872,t
20548,27011,t
20551,14782,t
20551,15179,t
20583,27645,t
20599,19747,t
20607,24298,t
20611,17889,t
20614,24696,t
20615,27065,t
20618,24739,t
20620,15886,t
20622,1886,t
20622,10410,t
20628,10754,t
20631,237,t
20670,19178,t
20686,26560,t
20687,19129,t
20690,30523,t
20697,23956,t
20701,11591,t
20705,27333,t
20708,1507,t
20721,14844,t
20722,17417,t
20722,29573,t
20729,16271,t
20730,10538,t
20746,26611,t
20749,21240,t
20752,16117,t
20754,28577,t
20756,14625,t
20775,2015,t
20827,29319,t
20827,29934,t
20838,18530,t
20877,19982,t
20853,19471,t
20856,10727,t
20857,2545,t
20859,29352,t
20862,26559,t
20862,1241,t
20863,1964,t
20907,1181,t
20907,22990,t
20930,21719,t
20930,23095,t
20918,21911,t
20934,15411,t
20942,23914,t
20942,25128,t
20952,21883,t
20970,14452,t
20970,21698,t
20971,13916,t
20981,13690,t
20992,428,t
21013,3204,t
21014,12509,t
21025,29015,t
21035,19194,t
21035,27933,t
29787,2727,t
21049,13144,t
21059,4211,t
21059,11459,t
21091,761,t
21243,5914,t
21079,13547,t
21082,10783,t
21083,26976,t
21092,1892,t
21103,8975,t
21114,30306,t
21343,14783,t
21343,15966,t
21127,12781,t
21132,8423,t
21137,19586,t
21138,19962,t
21171,29262,t
21177,15721,t
21186,11230,t
21200,29298,t
21203,12644,t
21212,14999,t
21227,4716,t
21230,21584,t
21235,137,t
21240,20749,t
21271,26667,t
21284,2383,t
21329,2969,t
21353,21636,t
21372,16574,t
21388,2555,t
21388,7778,t
21401,16084,t
21416,25443,t
21432,19346,t
21432,19611,t
21438,16812,t
21452,3802,t
21461,17971,t
21467,25284,t
21468,22111,t
21491,30729,t
21494,13269,t
21524,18607,t
21538,27959,t
21549,18714,t
21552,8124,t
21559,23818,t
21654,13278,t
21584,17219,t
21584,21230,t
21655,21933,t
21898,9577,t
21605,23550,t
21627,15180,t
21698,5742,t
21698,20970,t
21636,21353,t
21641,18913,t
21642,15520,t
21647,13725,t
21656,14765,t
21696,9485,t
21696,9526,t
21708,13671,t
21715,17968,t
21717,10013,t
21718,20070,t
21719,20930,t
21720,23539,t
21724,25642,t
21895,5881,t
21759,1791,t
21767,26880,t
21771,15306,t
21771,22328,t
21796,7308,t
21809,17207,t
21890,2496,t
21830,7611,t
21832,14844,t
21846,17129,t
21858,11678,t
23482,9398,t
21886,8161,t
21899,9386,t
21902,6929,t
21902,9828,t
21911,20918,t
21917,12159,t
21922,15281,t
21956,22292,t
21959,9594,t
21964,1428,t
21977,16394,t
21982,7989,t
21982,10963,t
22007,795,t
22007,7215,t
22009,6782,t
22013,15397,t
22013,18031,t
22020,18305,t
22020,20386,t
22036,522,t
22054,8953,t
22078,16209,t
22081,27257,t
22111,21468,t
22119,23160,t
22122,7383,t
22147,27160,t
22177,29296,t
22177,3749,t
22186,17946,t
22186,20300,t
22198,14715,t
22230,16581,t
22240,9635,t
22257,812,t
22257,15111,t
22257,20290,t
22264,8121,t
