"group_number","group_number","same_volume"
2541,12438,t
2544,2494,t
2545,20857,t
2550,12534,t
2552,411,t
2554,17370,t
2555,2523,t
2555,21388,t
2561,2634,t
2561,14712,t
2563,18419,t
2569,2617,t
2580,26787,t
2588,13306,t
2591,2686,t
2591,30734,t
2596,2673,t
2665,11140,t
2617,2569,t
2618,8935,t
2628,2663,t
2632,25073,t
2634,2561,t
2645,18417,t
2655,8993,t
2663,2628,t
2666,5765,t
2674,11031,t
2683,7282,t
2686,2591,t
2687,21463,t
2689,9450,t
2700,18144,t
2713,14620,t
19043,26846,t
2745,2332,t
2727,2756,t
2727,29787,t
2729,2793,t
2730,26489,t
2732,8419,t
2747,7623,t
2747,7370,t
2755,2798,t
2756,2727,t
2782,2821,t
2793,2729,t
2793,11059,t
2794,28254,t
2798,2755,t
2824,8813,t
18416,9157,t
2821,2782,t
2847,11266,t
2883,2915,t
2861,15072,t
2866,3043,t
2869,8758,t
2869,12475,t
2871,982,t
2885,27018,t
2951,14051,t
2924,2961,t
2961,2924,t
2967,11891,t
2967,18064,t
2969,21329,t
2974,5837,t
3443,19073,t
3443,29566,t
3001,3734,t
3006,26783,t
3018,9978,t
3029,20511,t
3043,2866,t
3044,8278,t
3050,3089,t
3051,19751,t
3054,6511,t
3057,16630,t
3063,12256,t
3063,10819,t
3074,2389,t
3075,19818,t
3079,17270,t
3081,12783,t
3540,3533,t
3137,29349,t
3138,4675,t
3138,7651,t
3158,26913,t
3161,29712,t
3403,24780,t
3169,9121,t
3187,922,t
3204,21013,t
3206,3235,t
3206,15341,t
3210,8286,t
3231,3255,t
3231,16450,t
3235,3206,t
3235,10318,t
3238,3893,t
3238,12577,t
3255,275,t
3255,3231,t
3258,4225,t
3258,30927,t
3260,214,t
3260,4945,t
3270,16398,t
3297,7955,t
3279,10318,t
3284,1968,t
3350,20092,t
3360,17650,t
3363,8342,t
3374,29570,t
3375,25145,t
3408,14206,t
3382,17650,t
3382,22469,t
3395,17822,t
3792,29769,t
3407,2152,t
3439,20398,t
3475,2215,t
3488,8810,t
3493,8108,t
3499,1255,t
3499,30230,t
3511,3577,t
3527,25642,t
3527,27382,t
3533,3540,t
3545,3556,t
3556,3545,t
3572,341,t
3577,3511,t
3590,19115,t
3600,3628,t
3606,24847,t
3608,22796,t
3628,3600,t
3637,12636,t
3655,19487,t
3655,19604,t
4252,13735,t
3664,16563,t
3665,4309,t
3703,10824,t
3715,18434,t
3740,12985,t
3734,3001,t
3735,29847,t
3748,3750,t
3750,3748,t
3750,22350,t
3752,1862,t
3772,11928,t
3787,28467,t
3787,12527,t
3802,21452,t
3816,3807,t
3826,4752,t
3829,23624,t
3833,1410,t
3836,22097,t
3859,29092,t
3859,26404,t
3849,24985,t
3868,22642,t
3868,3880,t
3874,7163,t
3877,20322,t
3893,3238,t
3893,19880,t
3914,3897,t
3895,13318,t
3897,3914,t
3900,8005,t
3920,328,t
3923,3928,t
3927,7862,t
3927,27513,t
3928,3923,t
3940,7399,t
3940,14118,t
20949,14436,t
3948,1597,t
3964,24074,t
3966,3996,t
3966,29104,t
3972,3987,t
3977,876,t
3982,15796,t
3987,3972,t
3996,3966,t
3996,16811,t
4010,18502,t
4020,25181,t
4020,3965,t
4028,4058,t
4028,4175,t
4058,4028,t
4071,10464,t
4187,13928,t
4099,14619,t
4103,30501,t
4112,14562,t
4118,8696,t
4126,13922,t
4129,10353,t
4132,4141,t
4141,4132,t
4141,13932,t
4159,7898,t
4175,4028,t
4176,6974,t
4184,9707,t
4186,29840,t
4192,24428,t
4199,6197,t
4199,15426,t
4206,9241,t
4206,14651,t
4207,19810,t
4211,21059,t
4220,2753,t
4225,3258,t
4231,8835,t
4233,14533,t
4235,25797,t
4262,26578,t
4270,12902,t
21004,25829,t
4301,13255,t
4323,4328,t
4308,16244,t
4309,3665,t
4344,24383,t
4328,4323,t
4354,25902,t
4360,9482,t
4389,24413,t
4376,27947,t
4392,6869,t
4396,1181,t
4419,4441,t
4483,6700,t
4483,27513,t
4428,18417,t
4441,4419,t
4454,1575,t
4462,30029,t
4476,16037,t
7862,3927,t
4485,23328,t
4490,7729,t
4492,26688,t
4493,7387,t
4495,9935,t
4501,20085,t
4506,26945,t
4530,14455,t
4532,6708,t
4536,6058,t
4541,20116,t
4580,6437,t
4580,11949,t
4584,9993,t
4592,16132,t
4595,6950,t
4602,4607,t
4607,4602,t
4616,4640,t
4633,26376,t
4619,4785,t
4625,900,t
4630,18536,t
4640,4616,t
4645,17294,t
4651,7129,t
4652,11520,t
4660,4664,t
4662,4723,t
4664,4660,t
4675,3138,t
4676,1188,t
20667,11831,t
20667,23755,t
4708,14666,t
4695,30747,t
4705,5773,t
4712,9181,t
4716,21227,t
4721,16939,t
4723,4662,t
4728,24386,t
4740,7273,t
4750,10467,t
4752,3826,t
4759,23557,t
4760,23557,t
4794,19752,t
4795,5732,t
4826,10245,t
4765,8786,t
4779,11557,t
4785,4619,t
4785,22652,t
4787,10749,t
4801,15747,t
4818,18240,t
4818,28416,t
4853,10981,t
4886,4893,t
4886,10422,t
4869,18015,t
4893,4886,t
4893,10307,t
4900,26631,t
4948,22591,t
4911,22297,t
4916,4925,t
9798,9840,t
4925,4916,t
4932,25942,t
4935,13963,t
4936,4940,t
4938,4941,t
4940,4936,t
4941,4938,t
4945,3260,t
4954,23631,t
4978,10559,t
5021,10446,t
5021,15554,t
5032,13280,t
5042,24713,t
5115,1971,t
5115,2095,t
5149,5758,t
5123,463,t
5134,12296,t
5143,16586,t
5147,15646,t
5160,27744,t
5224,18013,t
5279,8698,t
5285,30008,t
5309,15744,t
5299,9043,t
5299,11712,t
5345,13124,t
5327,10012,t
5406,23891,t
5427,23683,t
5428,5530,t
5431,5454,t
21443,13866,t
5484,10853,t
5445,5459,t
5445,14493,t
5454,5431,t
21316,25738,t
5459,5445,t
5471,14115,t
5473,14942,t
5488,2231,t
5488,17654,t
5567,18239,t
5578,20117,t
5606,8163,t
5606,9657,t
5594,8168,t
5630,9785,t
6048,11470,t
6048,22540,t
5650,12863,t
5673,19712,t
5673,26156,t
5716,24583,t
5716,21851,t
5732,4795,t
5732,15647,t
5742,21698,t
5758,1849,t
5758,5149,t
5773,4705,t
5773,25939,t
5783,18704,t
5783,27698,t
5788,6531,t
5804,22758,t
5812,13544,t
5825,12012,t
5825,14144,t
5834,28383,t
5837,2974,t
5837,5945,t
22297,4911,t
22297,8947,t
21342,17038,t
5861,1415,t
5875,23306,t
5877,13791,t
5881,21895,t
5886,13240,t
5896,1968,t
5900,17469,t
5908,17923,t
5914,21243,t
5917,25401,t
5917,28654,t
5918,14955,t
5922,3793,t
5936,13273,t
5945,5837,t
5951,24724,t
5957,6006,t
5960,28632,t
5970,11574,t
6002,28192,t
6024,10404,t
6012,24903,t
6018,874,t
6035,30840,t
6052,9235,t
