arterycode,location,count_type,centreline_id,direction,sideofint,comment
34774,THE EAST MALL AT CLOVERDALE MALL EXIT WEST OF YARN RD,R,8087369,Southbound,S,
34774,THE EAST MALL AT CLOVERDALE MALL EXIT WEST OF YARN RD,R,912797,Eastbound,W,
34774,THE EAST MALL AT CLOVERDALE MALL EXIT WEST OF YARN RD,R,912797,Westbound,W,
36198,# 855 BROADVIEW AVE AT BROADVIEW AVE,R,10834665,Northbound,N,
36198,# 855 BROADVIEW AVE AT BROADVIEW AVE,R,10834665,Southbound,N,
35960,THE QUEENSWAY W/B TO SOUTH KINGSWAY S/B,24 HOUR,30054216,Westbound,W,
34817,FINCH AVE AT #2405 FINCH AVE,R,30057972,Eastbound,W,
34817,FINCH AVE AT #2405 FINCH AVE,R,30057972,Westbound,W,
35988,LAWRENCE AVE AT ST MARTIN DE PORRES CHURCH EAST OF FLORIST L,R,20112786,Eastbound,E,
35988,LAWRENCE AVE AT ST MARTIN DE PORRES CHURCH EAST OF FLORIST L,R,20112786,Westbound,E,
35744,STEELES AVE AT # 4249 STEELES AVE AND SANTE DR (PLAZA ENT),R,14304091,Eastbound,E,
35744,STEELES AVE AT # 4249 STEELES AVE AND SANTE DR (PLAZA ENT),R,14304091,Westbound,E,
35744,STEELES AVE AT # 4249 STEELES AVE AND SANTE DR (PLAZA ENT),R,14304063,Eastbound,W,
35744,STEELES AVE AT # 4249 STEELES AVE AND SANTE DR (PLAZA ENT),R,14304063,Westbound,W,
36009,# 4218 LAWRENCE AVE AT LAWRENCE AVE,R,11186784,Eastbound,W,
36009,# 4218 LAWRENCE AVE AT LAWRENCE AVE,R,11186784,Westbound,W,
35432,# 3200 KENNEDY RD @ 125M N OF MCNICOLL AVE (MARY WARD HIGH S,R,9467832,Northbound,N,
35432,# 3200 KENNEDY RD @ 125M N OF MCNICOLL AVE (MARY WARD HIGH S,R,9467832,Southbound,N,
37873,# 65 SOUTHPORT ST AT SOUTHPORT ST,R,14066608,Northbound,S,
37873,# 65 SOUTHPORT ST AT SOUTHPORT ST,R,14066608,Southbound,S,
37874,# 3030 BIRCHMOUNT RD AT BIRCHMOUNT RD (NORTH DRIVEWAY),R,30053313,Northbound,N,
37874,# 3030 BIRCHMOUNT RD AT BIRCHMOUNT RD (NORTH DRIVEWAY),R,30053313,Southbound,N,
38048,3410 MIDLAND AVE,R,5070578,Northbound,S,
38048,3410 MIDLAND AVE,R,5070578,Southbound,S,
37606,# 700 ARROW RD AT TTC YARD,R,11267778,Northbound,S,
37606,# 700 ARROW RD AT TTC YARD,R,11267778,Southbound,S,
