arterycode,centreline_id,direction,sideofint,match_on_case,artery_type
183,9544300,Eastbound,W,1,1
184,8771634,Westbound,E,1,1
185,9531528,Eastbound,W,1,1
186,9544294,Westbound,E,1,1
187,912292,Eastbound,W,1,1
188,912220,Westbound,E,1,1
189,912339,Westbound,E,1,1
190,7514889,Westbound,E,1,1
191,911903,Eastbound,W,1,1
192,911550,Eastbound,W,1,1
193,911525,Westbound,E,1,1
194,911713,Eastbound,W,1,1
195,911696,Westbound,E,1,1
197,20062172,Northbound,S,2,1
198,14023312,Southbound,N,1,1
199,30002729,Northbound,S,2,1
200,14023920,Southbound,N,1,1
202,14021801,Southbound,N,1,1
203,1139544,Northbound,S,1,1
208,30002729,Southbound,N,2,1
209,6208975,Northbound,S,1,1
210,4257358,Southbound,N,1,1
211,20042302,Northbound,S,2,1
212,7808416,Southbound,N,1,1
214,7796354,Northbound,S,1,1
215,6208975,Southbound,N,1,1
216,112911,Eastbound,W,1,1
217,112911,Westbound,E,1,1
218,14174332,Northbound,N,1,1
219,111005,Northbound,S,1,1
220,14174332,Southbound,N,1,1
222,14014345,Eastbound,W,1,1
223,7979624,Northbound,N,1,1
224,909172,Eastbound,W,1,1
225,909091,Westbound,E,1,1
226,3599986,Eastbound,W,1,1
227,8322682,Westbound,E,1,1
228,909172,Westbound,E,1,1
229,908782,Eastbound,W,1,1
230,908763,Westbound,E,1,1
231,3592234,Westbound,E,1,1
232,9216945,Westbound,E,1,1
233,908459,Eastbound,W,1,1
234,20059760,Westbound,E,2,1
235,909165,Westbound,E,1,1
236,908543,Westbound,E,1,1
237,11047975,Eastbound,W,1,1
238,908753,Eastbound,W,1,1
239,6125252,Westbound,E,1,1
240,3461579,Eastbound,W,1,1
241,908860,Westbound,E,1,1
242,908402,Eastbound,W,1,1
243,8322684,Eastbound,W,1,1
244,3591746,Eastbound,W,1,1
245,10180209,Southbound,N,1,1
246,437854,Southbound,N,1,1
247,438191,Northbound,S,2,1
248,438011,Northbound,S,1,1
249,4709500,Northbound,S,1,1
250,30018925,Northbound,S,2,1
251,4709528,Southbound,N,1,1
252,438011,Southbound,N,1,1
253,440386,Northbound,S,1,1
254,438334,Northbound,S,1,1
255,438191,Southbound,N,2,1
256,4709528,Northbound,S,1,1
257,30004495,Southbound,N,1,1
258,10180209,Northbound,S,1,1
259,20234118,Southbound,N,1,1
260,7466899,Northbound,S,1,1
261,439659,Northbound,S,1,1
262,5336745,Southbound,N,1,1
263,10365043,Northbound,S,1,1
264,10367595,Southbound,N,1,1
265,444689,Southbound,N,1,1
266,14018251,Northbound,S,1,1
267,14011416,Southbound,N,1,1
268,10364483,Northbound,S,1,1
269,30069192,Southbound,N,2,1
270,9655788,Northbound,S,1,1
271,9655809,Southbound,N,1,1
272,444172,Northbound,S,1,1
273,444135,Southbound,N,1,1
274,444172,Southbound,S,1,1
275,9655737,Northbound,S,1,1
276,7421,Southbound,N,1,1
277,1145245,Northbound,S,1,1
278,14040802,Southbound,N,1,1
279,14003891,Northbound,S,1,1
280,14013481,Southbound,N,1,1
281,11714767,Northbound,S,1,1
282,10280133,Southbound,N,1,1
283,30057160,Northbound,S,2,1
284,14018264,Southbound,N,1,1
