arterycode,count_type,loc,type,road,road_rank,tot_days
20540,PermAutom,RAMP DON VALLEY PKWY N/B TO YORK MILLS RD(E/B &W/B),RESCU,DVP,2,2056
20549,PermAutom,DON VALLEY PKWY S/B S OF BAYVIEW / BLOOR OFF RAMP,RESCU,DVP,2,1715
21963,PermAutom,HIGHWAY 27 S/B S OF REXDALE BLVD,Other,,6,352
23984,PermAutom,F G GARDINER EXPY E/B W OF FREELAND ST,RESCU,Gardiner,1,2007
23985,PermAutom,F G GARDINER EXPY E/B W OF YORK ST,RESCU,Gardiner,1,2002
23986,PermAutom,F G GARDINER EXPY W/B E OF STRACHAN AVE,RESCU,Gardiner,1,2005
23987,PermAutom,F G GARDINER EXPY E/B E OF STRACHAN AVE,RESCU,Gardiner,1,2000
23988,PermAutom,F G GARDINER EXPY W/B E OF NOVA SCOTIA AVE,RESCU,Gardiner,1,2478
23989,PermAutom,F G GARDINER EXPY E/B W OF GARRISON RD,RESCU,Gardiner,1,2165
23990,PermAutom,F G GARDINER EXPY W/B E OF DUFFERIN ST,RESCU,Gardiner,1,2425
23991,PermAutom,F G GARDINER EXPY W/B E OF COLBORNE LODGE DR,RESCU,Gardiner,1,1210
23992,PermAutom,F G GARDINER EXPY E/B E OF COLBORNE LODGE DR,RESCU,Gardiner,1,2584
23993,PermAutom,F G GARDINER EXPY E/B E OF HUMBER RIVER,RESCU,Gardiner,1,418
23996,PermAutom,F G GARDINER EXPY W/B E OF PARK LAWN RD,RESCU,Gardiner,1,418
23999,PermAutom,F G GARDINER EXPY W/B E OF GRAND AVE,RESCU,Gardiner,1,422
24000,PermAutom,F G GARDINER EXPY E/B E OF GRAND AVE,RESCU,Gardiner,1,421
24849,PermAutom,MILLWOOD RD S/B SOF OVERLEA BLVD,Other,,6,649
24921,PermAutom,MIDLAND AVE S/B S OF MIDWEST RD,Other,,6,333
25728,PermAutom,RAMP SPADINA AVE S/B TO LAKE SHORE BLVD W/B,RESCU,Lakeshore,4,495
25974,PermAutom,LAKE SHORE BLVD W/B E OF FREELAND ST,RESCU,Lakeshore,4,2224
25977,PermAutom,LAKE SHORE BLVD W/B E OF BONNYCASTLE ST,RESCU,Lakeshore,4,1874
25980,PermAutom,RAMP F G GARDINER W/B TO LAKE SHORE W/B E OF YONGE,RESCU,Gardiner,1,1603
25982,PermAutom,LAKE SHORE BLVD W/B TO LOWER JARVIS ST N/B,RESCU,Lakeshore,4,994
