arterycode,count_type,loc,type,road,road_rank,tot_days
3173,PermAutom,F G GARDINER EXPY W/B E OF CHERRY ST N,RESCU,Gardiner,1,3730
3174,PermAutom,F G GARDINER EXPY E/B E OF DON VALLEY PKWY,RESCU,Gardiner,1,3822
3175,PermAutom,F G GARDINER EXPY W/B E OF DON VALLEY PKWY,RESCU,Gardiner,1,3957
3176,PermAutom,F G GARDINER EXPY W/B W OF JAMESON AVE,RESCU,Gardiner,1,3958
3177,PermAutom,F G GARDINER EXPY E/B E OF DUNN AVE,RESCU,Gardiner,1,4320
3178,PermAutom,F G GARDINER EXPY W/B E OF DUNN AVE,RESCU,Gardiner,1,3835
3179,PermAutom,F G GARDINER EXPY E/B E OF ELLIS AVE,RESCU,Gardiner,1,3812
3180,PermAutom,F G GARDINER EXPY W/B E OF ELLIS AVE,RESCU,Gardiner,1,3829
3181,PermAutom,F G GARDINER EXPY E/B W OF JAMESON AVE,RESCU,Gardiner,1,4416
3182,PermAutom,F G GARDINER EXPY E/B W OF DOWLING AVE,RESCU,Gardiner,1,4239
3183,PermAutom,F G GARDINER EXPY W/B W OF DOWLING AVE,RESCU,Gardiner,1,3808
3184,PermAutom,F G GARDINER EXPY E/B E OF PARLIAMENT ST,RESCU,Gardiner,1,3639
3185,PermAutom,F G GARDINER EXPY W/B E OF PARLIAMENT ST,RESCU,Gardiner,1,4022
3186,PermAutom,F G GARDINER EXPY E/B W OF REES ST,RESCU,Gardiner,1,5349
3187,PermAutom,F G GARDINER EXPY W/B W OF REES ST,RESCU,Gardiner,1,4234
3189,PermAutom,F G GARDINER EXPY E/B E OF SHERBOURNE ST,RESCU,Gardiner,1,2023
3190,PermAutom,F G GARDINER EXPY W/B E OF SHERBOURNE ST,RESCU,Gardiner,1,3295
3191,PermAutom,F G GARDINER EXPY E/B W OF SPADINA AVE,RESCU,Gardiner,1,4437
3192,PermAutom,F G GARDINER EXPY W/B W OF SPADINA AVE,RESCU,Gardiner,1,4435
3193,PermAutom,F G GARDINER EXPY E/B E OF JARVIS ST,RESCU,Gardiner,1,4146
3194,PermAutom,F G GARDINER EXPY W/B E OF JARVIS ST,RESCU,Gardiner,1,4636
3195,PermAutom,F G GARDINER EXPY W/B W OF YORK ST,RESCU,Gardiner,1,4343
3197,PermAutom,GREENWOOD AVE N/B S OF SAMMON AVE,Other,,6,3258
3198,PermAutom,GREENWOOD AVE S/B N OF SAMMON AVE,Other,,6,3143
3202,24 HOUR,JOHN ST W/B E OF WESTON RD,Other,,6,394
3206,PermAutom,HARBOUR ST E/B W OF BAY ST,RESCU,Harbour,5,4433
3207,PermAutom,LAKE SHORE BLVD E/B W OF CHERRY ST S,RESCU,Lakeshore,4,4741
3210,PermAutom,LAKE SHORE BLVD E/B W OF DON RDWY,RESCU,Lakeshore,4,3779
3211,PermAutom,LAKE SHORE BLVD W/B W OF DON RDWY,RESCU,Lakeshore,4,3743
3212,PermAutom,LAKE SHORE BLVD W/B E OF DOWLING AVE,RESCU,Lakeshore,4,4162
3213,PermAutom,LAKE SHORE BLVD W/B E OF DUNN AVE,RESCU,Lakeshore,4,4074
3214,PermAutom,LAKE SHORE BLVD E/B W OF CHERRY ST N,RESCU,Lakeshore,4,4215
3215,PermAutom,LAKE SHORE BLVD E/B W OF SMALL ST,RESCU,Lakeshore,4,3071
3216,PermAutom,LAKE SHORE BLVD W/B W OF REES ST,RESCU,Lakeshore,4,4218
3217,PermAutom,HARBOUR ST E/B W OF YORK ST,RESCU,Harbour,5,2346
3272,PermAutom,RAMP BAY ST N/B TO F G GARDINER EXPY E/B,RESCU,Gardiner,1,1224
3273,PermAutom,RAMP DON VALLEY PKWY S/B TO LAWRENCE AVE W/B,RESCU,DVP,2,2200
3274,PermAutom,RAMP F G GARDINER EXPY E/B TO BAY ST/YONGE ST,RESCU,Gardiner,1,4173
3275,PermAutom,RAMP F G GARDINER EXPY E/B TO JAMESON AVE,RESCU,Gardiner,1,1085
3276,PermAutom,RAMP F G GARDINER EXPY E/B TO JARVIS ST,RESCU,Gardiner,1,2297
3277,PermAutom,RAMP F G GARDINER EXPY E/B TO SPADINA AVE,RESCU,Gardiner,1,667
3278,PermAutom,RAMP F G GARDINER EXPY E/B TO YORK ST,RESCU,Gardiner,1,4050
3279,PermAutom,RAMP F G GARDINER EXPY W/B TO DUNN AVE,RESCU,Gardiner,1,2579
3280,PermAutom,RAMP FGG EXPY W/B TO LAKE SHORE BLVD W/B (SPADINA),RESCU,Gardiner,1,4703
